Baker.SHname	jep1.taxon
Abies magnifica	ABIES magnifica var. magnifica
Abronia latifolia	ABRONIA latifolia
Abronia maritima	ABRONIA maritima
Abronia pogonantha	ABRONIA pogonantha
Abronia umbellata	ABRONIA umbellata ssp. umbellata
Abronia villosa	ABRONIA villosa var. villosa
Abronia villosa var aurita	ABRONIA villosa var. aurita
Acacia farnesiana	ACACIA farnesiana var. farnesiana
Acamtopappus sphaerocephalus var hirtellus	ACAMPTOPAPPUS sphaerocephalus var. hirtellus
Acer circinatum	ACER circinatum
Acer macrophyllum	ACER macrophyllum
Acer negundo var californicum	ACER negundo var. californicum
Achillea millifolium	ACHILLEA millefolium
Achlys triphylla 	ACHLYS triphylla ssp. triphylla
Achnatherium hymenoides 	ACHNATHERUM hymenoides
Achnatherum coronatum 	ACHNATHERUM coronatum
Achnatherum lemmonii 	ACHNATHERUM lemmonii ssp. lemmonii
Achnatherum occidentalis ssp. californicum 	ACHNATHERUM occidentale ssp. californicum
Achnatherum occidentalis ssp. californisum 	ACHNATHERUM occidentale ssp. californicum
Achnatherum occidentalis ssp. occidentalis 	ACHNATHERUM occidentale ssp. occidentale
Achnatherum speciosum 	ACHNATHERUM speciosum
Achnatherum stillmanii 	ACHNATHERUM stillmanii
Achnatherum thurberianum 	ACHNATHERUM thurberianum
Achyrachaena mollis	ACHYRACHAENA mollis
Aconitum columbianum	ACONITUM columbianum
Aconitum columbianum var howelli	ACONITUM columbianum
Actaea rubra	ACTAEA rubra
Actaea rubra 	ACTAEA rubra
Adenocaulon bicolor	ADENOCAULON bicolor
Adenostoma fasciculatum	ADENOSTOMA fasciculatum
Adenostoma sparsifolium	ADENOSTOMA fasciculatum
Agastache urticifolia	AGASTACHE urticifolia
Agave deserti	AGAVE deserti
Ageratina adenophora 	AGERATINA adenophora
Ageratina adenophorum 	AGERATINA adenophora
Ageratina occidentalis 	AGERATINA occidentalis
Agoseris apargioides	AGOSERIS apargioides var. apargioides
Agoseris aurantiaca	AGOSERIS aurantiaca
Agoseris grandiflora	AGOSERIS grandiflora
Agoseris heterophylla	AGOSERIS heterophylla
