id,family,genus,taxon,trait,dstate,value,units,N
1,Aceraceae,Acer,Acer macrophyllum,Blade area (c),NA,150,cm2,1
2,Aceraceae,Acer,Acer negundo var. californicum,Blade area (c),NA,20,cm2,1
3,Rosaceae,Adenostoma,Adenostoma fasciculatum,Blade area (c),NA,0.0502,cm2,13
4,Rosaceae,Adenostoma,Adenostoma sparsifolium,Blade area (c),NA,0.045,cm2,6
5,Rhamnaceae,Adolphia,Adolphia californica,Blade area (c),NA,0.05,cm2,1
6,Hippocastanaceae,Aesculus,Aesculus californica,Blade area (c),NA,19.5,cm2,1
7,Betulaceae,Alnus,Alnus rhombifolia,Blade area (c),NA,32,cm2,1
8,Rosaceae,Amelanchier,Amelanchier utahensis,Blade area (c),NA,3.78,cm2,3
9,Ericaceae,Arbutus,Arbutus menziesii,Blade area (c),NA,41.4,cm2,5
10,Ericaceae,Arctostaphylos,Arctostaphylos andersonii,Blade area (c),NA,6.41,cm2,1
11,Ericaceae,Arctostaphylos,Arctostaphylos bakeri ssp. bakeri,Blade area (c),NA,0.88,cm2,1
12,Ericaceae,Arctostaphylos,Arctostaphylos hispidula,Blade area (c),NA,3.91,cm2,1
13,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. franciscana,Blade area (c),NA,1.94,cm2,2
14,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. hookeri,Blade area (c),NA,2.12,cm2,1
15,Ericaceae,Arctostaphylos,Arctostaphylos manzanita ssp. manzanita,Blade area (c),NA,7.41,cm2,2
16,Ericaceae,Arctostaphylos,Arctostaphylos nummularia,Blade area (c),NA,1.16,cm2,6
17,Ericaceae,Arctostaphylos,Arctostaphylos obispoensis,Blade area (c),NA,4.43,cm2,1
18,Ericaceae,Arctostaphylos,Arctostaphylos pajaroensis,Blade area (c),NA,4.63,cm2,2
19,Ericaceae,Arctostaphylos,Arctostaphylos pilosula,Blade area (c),NA,2.94,cm2,1
20,Ericaceae,Arctostaphylos,Arctostaphylos pumila,Blade area (c),NA,0.96,cm2,1
21,Ericaceae,Arctostaphylos,Arctostaphylos purissima,Blade area (c),NA,2.04,cm2,1
22,Ericaceae,Arctostaphylos,Arctostaphylos rudis,Blade area (c),NA,3.68,cm2,1
23,Ericaceae,Arctostaphylos,Arctostaphylos stanfordiana ssp. decumbens,Blade area (c),NA,3.75,cm2,1
24,Ericaceae,Arctostaphylos,Arctostaphylos stanfordiana ssp. stanfordiana,Blade area (c),NA,2.41,cm2,1
25,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. crustacea,Blade area (c),NA,7.61,cm2,3
26,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. rosei,Blade area (c),NA,6.14,cm2,2
27,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa ssp. tomentosa,Blade area (c),NA,5.63,cm2,2
28,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi,Blade area (c),NA,1.49,cm2,3
29,Ericaceae,Arctostaphylos,Arctostaphylos wellsii,Blade area (c),NA,1.53,cm2,1
30,Asteraceae,Artemisia,Artemisia californica,Blade area (c),NA,0.245,cm2,1
31,Rosaceae,Aruncus,Aruncus dioicus var. pubescens,Blade area (c),NA,10.7,cm2,2
32,Asteraceae,Baccharis,Baccharis pilularis,Blade area (c),NA,1.53,cm2,1
33,Rhamnaceae,Ceanothus,Ceanothus arboreus,Blade area (c),NA,15.9,cm2,3
34,Rhamnaceae,Ceanothus,Ceanothus cordulatus,Blade area (c),NA,4.55,cm2,1
35,Rhamnaceae,Ceanothus,Ceanothus crassifolius,Blade area (c),NA,2.83,cm2,3
36,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. cuneatus,Blade area (c),NA,1.58,cm2,5
37,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. fascicularis,Blade area (c),NA,0.945,cm2,2
38,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. rigidus,Blade area (c),NA,0.36,cm2,2
39,Rhamnaceae,Ceanothus,Ceanothus cyaneus,Blade area (c),NA,4.69,cm2,1
40,Rhamnaceae,Ceanothus,Ceanothus divergens,Blade area (c),NA,1.38,cm2,1
