id	trait.id	trait	state.id	dstate	notes
1	1	Growth form	1	short basal	
2	1	Growth form	2	long basal	
3	1	Growth form	3	semi-basal	
4	1	Growth form	4	erect leafy	
5	1	Growth form	5	cushions (=pulvinate)	
6	1	Growth form	6	tussocks	
7	1	Growth form	7	dwarf shrubs	
8	1	Growth form	8	shrubs	
9	1	Growth form	9	trees	
10	1	Growth form	10	leafless shrubs or trees	
11	1	Growth form	11	short succulents	
12	1	Growth form	12	tall succulents	
13	1	Growth form	13	palmoids	
14	1	Growth form	14	epiphytes	
15	1	Growth form	15	climbers and scramblers	
16	1	Growth form	16	hemi-epiphytes	
17	1	Growth form	17	hemiparasites or holoparasites	
18	1	Growth form	18	aquatic submerged	
19	1	Growth form	19	aquatic floating	
20	1	Growth form	20	other growth forms.	
21	2	Life form	1	phanerophytes	
22	2	Life form	2	chamaephytes	
23	2	Life form	3	hemicryptophytes	
24	2	Life form	4	geophytes	
25	2	Life form	5	therophytes	
26	2	Life form	6	helophytes	
27	2	Life form	7	hydrophytes	
28	4	Plant habit	1	winter annual	
29	4	Plant habit	2	spring annual	
30	4	Plant habit	3	summer annual	
31	4	Plant habit	4	perennial herbaceous	
32	4	Plant habit	5	shrub	
33	4	Plant habit	6	tree	
34	5	Maximum height (d)	1	0-3 cm	
35	5	Maximum height (d)	2	3-10 cm	
36	5	Maximum height (d)	3	10-50	
37	5	Maximum height (d)	4	50-100	
38	5	Maximum height (d)	5	100-150	
39	5	Maximum height (d)	6	150-200	
40	5	Maximum height (d)	7	200-300	
41	5	Maximum height (d)	8	>300	
42	7	Flower height (d)	1	0-5 cm	
43	7	Flower height (d)	2	5-10	
44	7	Flower height (d)	3	10-50	
45	7	Flower height (d)	4	50-100	
46	7	Flower height (d)	5	100-150	
47	7	Flower height (d)	6	150-200	
48	7	Flower height (d)	7	200-300	
49	7	Flower height (d)	8	>300	
50	9	Dead branch retention	1	no	
51	9	Dead branch retention	2	some	
52	9	Dead branch retention	3	a lot	
53	57	Twig dry matter content 	1	<200 mg g-1	
54	57	Twig dry matter content 	2	200Ð400	
55	57	Twig dry matter content 	3	400Ð600	
56	57	Twig dry matter content 	4	600Ð800	
57	57	Twig dry matter content 	5	>800	
58	58	Twig drying time	1	²5 days	
59	58	Twig drying time	2	4	
60	58	Twig drying time	3	3	
61	58	Twig drying time	4	2	
62	58	Twig drying time	5	²1	
63	10	Degree of ramification (branching)	1	no branches	
64	10	Degree of ramification (branching)	2	only 1st order	
65	10	Degree of ramification (branching)	3	2 orders	
66	10	Degree of ramification (branching)	4	3 orders	
67	10	Degree of ramification (branching)	5	4 orders	
68	11	Standing fine litter in driest season	1	none	
69	11	Standing fine litter in driest season	2	some	
70	11	Standing fine litter in driest season	3	substantial (with dead leaves/twigs or flaking bark)	
71	11	Standing fine litter in driest season	4	more dead than live fine mass aboveground	
72	11	Standing fine litter in driest season	5	shoot dies back entirely	
73	11	Standing fine litter in driest season	6	standing as one litter unit	
74	12	Volatile oils, waxes and/or resins	1	none	
75	12	Volatile oils, waxes and/or resins	2	some	
76	12	Volatile oils, waxes and/or resins	3	substantial	
77	12	Volatile oils, waxes and/or resins	4	abundant	
78	12	Volatile oils, waxes and/or resins	5	very abundant	
79	13	Leaf type	1	simple	
80	13	Leaf type	2	compound	
81	13	Leaf type	3	dissected or lobed	
82	13	Leaf type	4	modified	
83	13	Leaf type	5	absent	
84	14	Compound leaf type	1	palmate	
85	14	Compound leaf type	2	pinnate	
86	14	Compound leaf type	3	bipinnate	
87	14	Compound leaf type	4	odd	
88	14	Compound leaf type	5	even	
89	15	Blade morphology	1	cylindric	
90	15	Blade morphology	2	scale-like	
91	15	Blade morphology	3	narrowly linear	
92	15	Blade morphology	4	linear	
93	15	Blade morphology	5	ovate	
94	15	Blade morphology	6	elliptic	
95	15	Blade morphology	7	deltate	
96	15	Blade morphology	8	cordate	
97	15	Blade morphology	9	reniform	
98	16	Blade length (d)	1	<0.01 cm	
99	16	Blade length (d)	2	0.01-1	
100	16	Blade length (d)	3	1-5	
101	16	Blade length (d)	4	5-10	
102	16	Blade length (d)	5	10-50	
103	16	Blade length (d)	6	50-100	
104	16	Blade length (d)	7	>100	
105	17	Blade width (d)	1	<0.01 cm	
106	17	Blade width (d)	2	0.01-1	
107	17	Blade width (d)	3	1-5	
108	17	Blade width (d)	4	5-10	
109	17	Blade width (d)	5	10-50	
110	17	Blade width (d)	6	>50	
111	20	Compound leaf length (d)	1	<0.01 cm	
112	20	Compound leaf length (d)	2	0.01-1	
113	20	Compound leaf length (d)	3	1-5	
114	20	Compound leaf length (d)	4	5-10	
115	20	Compound leaf length (d)	5	10-50	
116	20	Compound leaf length (d)	6	50-100	
117	20	Compound leaf length (d)	7	100-500	
118	20	Compound leaf length (d)	7	>500	
119	21	Compound leaf width (d)	1	<0.01 cm	
120	21	Compound leaf width (d)	2	0.01-1	
121	21	Compound leaf width (d)	3	1-5	
122	21	Compound leaf width (d)	4	5-10	
123	21	Compound leaf width (d)	5	10-50	
124	21	Compound leaf width (d)	6	50-100	
125	21	Compound leaf width (d)	7	>100	
126	25	Blade area (d)	1	<0.01 cm2	
127	25	Blade area (d)	2	0.01-1	
128	25	Blade area (d)	3	1-5	
129	25	Blade area (d)	4	5-10	
130	25	Blade area (d)	5	10-50	
131	25	Blade area (d)	6	50-100	
132	25	Blade area (d)	7	> 100	
133	27	Raunkiaer leaf size	1	leptophyll < 25 mm2	
134	27	Raunkiaer leaf size	2	nanophyll 25-225	
135	27	Raunkiaer leaf size	3	microphyll 225-2025	
136	27	Raunkiaer leaf size	4	mesophyll 2025-18225	
137	27	Raunkiaer leaf size	5	macropyll 18225-164025	
138	27	Raunkiaer leaf size	6	megaphyll > 164026.	
139	28	Blade  margin	1	not applicable	
140	28	Blade  margin	2	entire	
141	28	Blade  margin	3	crenate	
142	28	Blade  margin	4	dentate	
143	28	Blade  margin	5	lobed	
144	28	Blade  margin	6	lobed and dentate	
145	28	Blade  margin	7	serrate	
146	33	Stomatal distribution	1	both	
147	33	Stomatal distribution	2	lower	
148	33	Stomatal distribution	3	upper	
149	33	Stomatal distribution	4	none	
150	33	Stomatal distribution	5	stem	
151	39	Leaf texture	1	sclerophyll	
152	39	Leaf texture	2	mesophyll	
153	39	Leaf texture	3	succulent	
154	54	Leaf habit	1	evergreen	
155	54	Leaf habit	2	summer deciduous	
156	54	Leaf habit	3	winter deciduous	
157	54	Leaf habit	4	semi-deciduous	
158	55	Photosynthetic pathway	1	C3	
159	55	Photosynthetic pathway	2	C4	
160	55	Photosynthetic pathway	3	CAM	
161	59	Green/photosynthetic stems	1	yes	
162	59	Green/photosynthetic stems	2	no	
163	60	Stem succulence	1	yes	
164	60	Stem succulence	2	no	
165	60	Stem succulence	3	in other organs (please specify)	
166	61	Bark thickness	1	less 1mm	
167	61	Bark thickness	2	1-10	
168	61	Bark thickness	3	>10	
169	63	Bark surface structure (texture)	1	smooth	
170	63	Bark surface structure (texture)	2	very slight texture	
171	63	Bark surface structure (texture)	3	intermediate texture	
172	63	Bark surface structure (texture)	4	strong texture	
173	63	Bark surface structure (texture)	5	very coarse texture.	
174	64	Spinescence (density)	1	no spines, thorns or prickles	
175	64	Spinescence (density)	2	low or very local density of soft spine equivalents <5 mm;	
176	64	Spinescence (density)	3	high density of soft spine equivalents or intermediate density of spine equivalents of intermediate hardness;	
177	64	Spinescence (density)	4	intermediate or high density of hard sharp spine equivalents >5 mm;	
178	64	Spinescence (density)	5	intermediate or high density of hard sharp spine equivalents >20 mm;	
179	64	Spinescence (density)	6	intermediate or high density of hard sharp spine equivalents >100 mm	
180	65	Surface indumenta on leaves	1	glabrous	
181	65	Surface indumenta on leaves	2	canescent	
182	65	Surface indumenta on leaves	3	ciliate	
183	65	Surface indumenta on leaves	4	prickle	
184	65	Surface indumenta on leaves	5	puberulent	
185	65	Surface indumenta on leaves	6	scabrous	
186	65	Surface indumenta on leaves	7	scale	
187	65	Surface indumenta on leaves	8	strigose	
188	65	Surface indumenta on leaves	9	tomentose.	
189	66	Surface indumenta on stems	1	glabrous	
190	66	Surface indumenta on stems	2	canescent	
191	66	Surface indumenta on stems	3	ciliate	
192	66	Surface indumenta on stems	4	prickle	
193	66	Surface indumenta on stems	5	puberulent	
194	66	Surface indumenta on stems	6	scabrous	
195	66	Surface indumenta on stems	7	scale	
196	66	Surface indumenta on stems	8	strigose	
197	66	Surface indumenta on stems	9	tomentose.	
198	67	Surface indumenta on flowers	1	glabrous	
199	67	Surface indumenta on flowers	2	canescent	
200	67	Surface indumenta on flowers	3	ciliate	
201	67	Surface indumenta on flowers	4	prickle	
202	67	Surface indumenta on flowers	5	puberulent	
203	67	Surface indumenta on flowers	6	scabrous	
204	67	Surface indumenta on flowers	7	scale	
205	67	Surface indumenta on flowers	8	strigose	
206	67	Surface indumenta on flowers	9	tomentose.	
207	68	Surface indumenta on fruits	1	glabrous	
208	68	Surface indumenta on fruits	2	canescent	
209	68	Surface indumenta on fruits	3	ciliate	
210	68	Surface indumenta on fruits	4	prickle	
211	68	Surface indumenta on fruits	5	puberulent	
212	68	Surface indumenta on fruits	6	scabrous	
213	68	Surface indumenta on fruits	7	scale	
214	68	Surface indumenta on fruits	8	strigose	
215	68	Surface indumenta on fruits	9	tomentose.	
216	69	Surface indumenta on buds	1	glabrous	
217	69	Surface indumenta on buds	2	canescent	
218	69	Surface indumenta on buds	3	ciliate	
219	69	Surface indumenta on buds	4	prickle	
220	69	Surface indumenta on buds	5	puberulent	
221	69	Surface indumenta on buds	6	scabrous	
222	69	Surface indumenta on buds	7	scale	
223	69	Surface indumenta on buds	8	strigose	
224	69	Surface indumenta on buds	9	tomentose.	
225	70	Aromatic/Chemical defences	1	not present or present in not significant amounts,	
226	70	Aromatic/Chemical defences	2	terpenoids (pyrethrum, essential oils, resins, latex)	
227	70	Aromatic/Chemical defences	3	phenolics (lignins, tannins, flavonoids, allelopathics)	
228	70	Aromatic/Chemical defences	4	alkaloids	
229	70	Aromatic/Chemical defences	5	present, type unknown	
230	71	Root depth: 1. type	1	shallow	
231	71	Root depth: 1. type	2	deep	
232	72	Root depth: 2. depth	1	<0.25 m	
233	72	Root depth: 2. depth	2	0.25-0.5	
234	72	Root depth: 2. depth	3	0.5-1	
235	72	Root depth: 2. depth	4	1-2	
236	72	Root depth: 2. depth	5	2-5	
237	72	Root depth: 2. depth	6	5-10	
238	72	Root depth: 2. depth	7	>10	
239	74	Root type	1	absent	
240	74	Root type	2	tap root	
241	74	Root type	3	fibrous	
242	74	Root type	4	adventitious	
243	74	Root type	5	contractile	
244	75	Mycorrhizal association 	1	arbuscular mycorrhiza	
245	75	Mycorrhizal association 	2	ectomycorrhiza	
246	75	Mycorrhizal association 	3	ericoid	
247	75	Mycorrhizal association 	4	orchid	
248	75	Mycorrhizal association 	5	no mycorrhizal association	
249	75	Mycorrhizal association 	6	unknown	
250	76	Strength of mycorrhizal association 	1	obligate or nearly obligate	
