id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
1	Fern	Aspleniaceae	Asplenium septentrionale	Asplenium septentrionale	Asplenium septentrionale (L.) Hoffm.	Asplenium	septentrionale	(L.) Hoffm.				1	1	0	1
2	Fern	Aspleniaceae	Asplenium trichomanes ssp. trichomanes	Asplenium trichomanes	Asplenium trichomanes L. ssp. trichomanes	Asplenium	trichomanes	L.	ssp.	trichomanes		1	1	1	1
3	Fern	Aspleniaceae	Asplenium trichomanes-ramosum	Asplenium trichomanes-ramosum	Asplenium trichomanes-ramosum L.	Asplenium	trichomanes-ramosum	L.				1	1	0	1
4	Fern	Aspleniaceae	Asplenium vespertinum	Asplenium vespertinum	Asplenium vespertinum Maxon	Asplenium	vespertinum	Maxon				1	1	0	1
5	Fern	Azollaceae	Azolla filiculoides	Azolla filiculoides	Azolla filiculoides Lam.	Azolla	filiculoides	Lam.				1	1	0	1
6	Fern	Azollaceae	Azolla mexicana	Azolla mexicana	Azolla mexicana C. Presl	Azolla	mexicana	C. Presl				1	1	0	1
7	Fern	Blechnaceae	Blechnum spicant	Blechnum spicant	Blechnum spicant (L.) Sm.	Blechnum	spicant	(L.) Sm.				1	1	0	1
8	Fern	Blechnaceae	Woodwardia fimbriata	Woodwardia fimbriata	Woodwardia fimbriata Sm.	Woodwardia	fimbriata	Sm.				1	1	0	1
9	Fern	Dennstaedtiaceae	Pteridium aquilinum var. pubescens	Pteridium aquilinum	Pteridium aquilinum (L.) Kuhn var. pubescens L. Underw.	Pteridium	aquilinum	(L.) Kuhn	var.	pubescens	L. Underw.	1	1	1	1
10	Fern	Dryopteridaceae	Athyrium alpestre var. americanum	Athyrium alpestre	Athyrium alpestre (D.H. Hoppe) Clairv. var. americanum Butters	Athyrium	alpestre	(D.H. Hoppe) Clairv.	var.	americanum	Butters	1	1	1	1
11	Fern	Dryopteridaceae	Athyrium filix-femina var. cyclosorum	Athyrium filix-femina	Athyrium filix-femina (L.) Roth var. cyclosorum Rupr.	Athyrium	filix-femina	(L.) Roth	var.	cyclosorum	Rupr.	1	1	1	1
12	Fern	Dryopteridaceae	Cyrtomium falcatum	Cyrtomium falcatum	Cyrtomium falcatum (L.f.) C. Presl	Cyrtomium	falcatum	(L.f.) C. Presl				1	1	0	1
13	Fern	Dryopteridaceae	Cystopteris fragilis	Cystopteris fragilis	Cystopteris fragilis (L.) Bernh.	Cystopteris	fragilis	(L.) Bernh.				1	1	0	1
14	Fern	Dryopteridaceae	Dryopteris arguta	Dryopteris arguta	Dryopteris arguta (Kaulf.) Maxon	Dryopteris	arguta	(Kaulf.) Maxon				1	1	0	1
