class	group	trait	id	type	n.states	units	source	trait.dfn
QualCore	Vegetative: whole plant	Growth form	1	nominal	20	NA	Cornelissen et al. 2003	Growth form, mainly determined by canopy structure and height
QualCore	Vegetative: whole plant	Life form	2	nominal	7	NA	Raunkiaer (1934) as in Cornelissen et al 2003	Type of plant form defined by the relation of the perennating tissue to the ground surface
QuantCore	Vegetative: whole plant	Stem density	3	continuous	NA	-	Ackerly 2004	Number of stems at 1/10 of plant height
QualCore	Vegetative: whole plant	Plant habit	4	nominal	6	NA	TJM2	Characteristic mode of growth, general form, or shape of a plant
QualCore	Vegetative: whole plant	Maximum height (d)	5	ordered discrete	8	NA	Cornelissen et al. 2003	Shortest distance between upper boundary of the main photosynthetic tissues on a plant at reproductive maturity and the ground level
QuantCore	Vegetative: whole plant	Maximum height (c)	6	continuous	NA	m		
QualExt	Vegetative: whole plant	Flower height (d)	7	ordered discrete	8	NA	Cornelissen et al. 2003; EFC	Shortest distance between upper boundary of flowers on a plant at reproductive maturity and the ground level
QuantCore	Vegetative: whole plant	Flower height (c)	8	continuous	NA	m		
QualExt	Vegetative: whole plant	Dead branch retention	9	ordered discrete	3	NA	Keeley; Schwilk	
QualExt	Vegetative: whole plant	Degree of ramification (branching)	10	nominal	5	NA	Cornelissen et al 2003	Number of ramification orders, as predictor of canopy architectural complexity (= Cornelissen flammability 4)
QualExt	Vegetative: whole plant	Standing fine litter in driest season	11	nominal	6	NA	Cornelissen et al 2003	The relative amount of fine dead plant material (branches, leaves, inflorescences, bark) still attached to the plant during the dry season. ‘Fine’ litter means litter with diameter or thickness less than 6 mm (= Cornelissen flammability 6)
QualExt	Vegetative: whole plant	Volatile oils, waxes and/or resins	12	nominal	5	NA	Cornelissen et al 2003	(= Cornelissen flammability 7)
QualCore	Vegetative: leaves	Leaf type	13	nominal	5	NA	TJM2	Leaf type or shape of the whole leaf
QualCore	Vegetative: leaves	Compound leaf type	14	nominal	5	NA	TJM2	type of compound leaf
QualCore	Vegetative: leaves	Blade morphology	15	nominal	9	NA	TJM2	Shape of the lamina or leaflet if compound leaf
QualCore	Vegetative: leaves	Blade length (d)	16	ordered discrete	7	NA	EFBI	Blade is leaflet if compound leaf
QualCore	Vegetative: leaves	Blade width (d)	17	ordered discrete	6	NA	EFBI	Blade is leaflet if compound leaf
QuantCore	Vegetative: leaves	Blade length (c)	18	continuous	NA	cm		Blade is leaflet if compound leaf
QuantCore	Vegetative: leaves	Blade width (c)	19	continuous	NA	cm		Blade is leaflet if compound leaf
QualCore	Vegetative: leaves	Compound leaf length (d)	20	ordered discrete	7	NA		Only for compound leaves
QualCore	Vegetative: leaves	Compound leaf width (d)	21	ordered discrete	7	NA		Only for compound leaves
QuantCore	Vegetative: leaves	Compound leaf length (c)	22	continuous	NA	cm		Only for compound leaves
QuantCore	Vegetative: leaves	Compound leaf width (c)	23	continuous	NA	cm		Only for compound leaves
QuantCore	Vegetative: leaves	Perimeter to Area Ratio	24	continuous	NA	NA	Weiher	
QualExt	Vegetative: leaves	Blade area (d)	25	ordered discrete	7	NA		Blade is leaflet if compound leaf.
