id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	specimen.type	Source	Accession	Date	LvsSampled	leaf.light.env	source.notes	source.notes
15	Ceanothus cuneatus var. rigidus	leaf_size		0.49	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. rigidus	B	UCBG	87.1252	03/23/01	5	Sun		
58	Ceanothus megacarpus var. insularis	leaf_size		1.69	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus megacarpus var. insularis	B	UCSC	88.128	8/17/01	5	Sun		
41	Ceanothus integerrimus	leaf_size		5.44	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus integerrimus	B	UCBG	90.1566	07/24/01	4	Sun		
37	Ceanothus impressus	leaf_size		0.16	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus impressus	B	UCBG	90.1691	03/23/01	7	Sun		
28	Ceanothus griseus	leaf_size		3.52	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus griseus	B	UCSC	2001.56	8/17/01	4	Sun	labelled var. horizontalis, mentioned but not recognized in Jepson	
86	Cercocarpus betuloides	leaf_size		2.85	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Cercocarpus betuloides	H	UCJEP	56553	02/07/01	3	NA		
85	Cercocarpus betuloides	leaf_size		1.11	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Cercocarpus betuloides	H	UCJEP	691101	02/07/01	3	NA		
1	Ceanothus arboreus	leaf_size		15.13	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus arboreus	B	UCBG	770413	00xxxx	3	Sun		
32	Ceanothus hearstiorum	leaf_size		1.61	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus hearstiorum	B	UCBG	821079	00xxxx	3	Sun		
67	Ceanothus prostratus	leaf_size		0.63	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus prostratus	B	UCBG	821456	00xxxx	4	Sun		
