id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	ACCNUM	CARD	source.trait	source.value	source.units	source.notes
725	Ceanothus arboreus	seed_mass		9.257	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus arboreus	BSH-0-1998	2084	seed mass	9.257	mg	
726	Ceanothus arboreus	seed_mass		17.425	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus arboreus			seed mass	17.425	mg	
727	Ceanothus arboreus	seed_mass		15.55	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus arboreus	BSH-0-1999	2084	seed mass	15.55	mg	
728	Ceanothus cordulatus	seed_mass		3.21	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cordulatus	BSH-0-2000	2085	seed mass	3.21	mg	
729	Ceanothus cordulatus	seed_mass		2.12	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cordulatus			seed mass	2.12	mg	
730	Ceanothus cuneatus var. cuneatus	seed_mass		9.257	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. cuneatus	BSH-0-2002	2079	seed mass	9.257	mg	
731	Ceanothus cuneatus var. cuneatus	seed_mass		13	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. cuneatus	BSH-0-2001	2079	seed mass	13	mg	wells
764	Ceanothus cuneatus var. cuneatus	seed_mass		8.358	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. cuneatus	BSH-0-2032	2116	seed mass	8.358	mg	
765	Ceanothus cuneatus var. rigidus	seed_mass		6.3	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. rigidus	BSH-0-2034	2117	seed mass	6.3	mg	
766	Ceanothus cuneatus var. rigidus	seed_mass		5.15	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. rigidus			seed mass	5.15	mg	
767	Ceanothus cuneatus var. rigidus	seed_mass		5.725	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. rigidus			seed mass	5.725	mg	
768	Ceanothus cuneatus var. rigidus	seed_mass		3.85	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus cuneatus var. rigidus	BSH-0-2033	2117	seed mass	3.85	mg	
732	Ceanothus dentatus	seed_mass		3.5	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus dentatus	BSH-0-2003	2081	seed mass	3.5	mg	
733	Ceanothus dentatus	seed_mass		2.471	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus dentatus	BSH-0-2004	2087	seed mass	2.471	mg	
735	Ceanothus gloriosus var. exaltatus	seed_mass		5.772	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus gloriosus var. exaltatus	BSH-0-2006	2092	seed mass	5.772	mg	
734	Ceanothus gloriosus var. gloriosus	seed_mass		5.936	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus gloriosus var. gloriosus	BSH-0-2005	2091	seed mass	5.936	mg	
736	Ceanothus gloriosus var. porrectus	seed_mass		3.76	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus gloriosus var. porrectus	BSH-0-2007	2093	seed mass	3.76	mg	
737	Ceanothus greggii var. perplexans	seed_mass		7.434	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus greggii var. perplexans	BSH-0-2008	2094	seed mass	7.434	mg	
739	Ceanothus griseus	seed_mass		2.83	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus griseus	BSH-0-2011	2095	seed mass	2.83	mg	
741	Ceanothus griseus	seed_mass		2.793	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus griseus	BSH-0-2012	2096	seed mass	2.793	mg	
742	Ceanothus griseus	seed_mass		2.367	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus griseus	BSH-0-2013	2096	seed mass	2.367	mg	
