id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
1	6	ackerly04	15	Ceanothus cuneatus var. rigidus	leaf_size	NA	0.49	cm2	NA	NA	NA	NA	NA	NA
2	25	ackerly04	58	Ceanothus megacarpus var. insularis	leaf_size	NA	1.69	cm2	NA	NA	NA	NA	NA	NA
3	19	ackerly04	41	Ceanothus integerrimus	leaf_size	NA	5.44	cm2	NA	NA	NA	NA	NA	NA
4	17	ackerly04	37	Ceanothus impressus	leaf_size	NA	0.16	cm2	NA	NA	NA	NA	NA	NA
5	15	ackerly04	28	Ceanothus griseus	leaf_size	NA	3.52	cm2	NA	NA	NA	NA	NA	NA
6	37	ackerly04	86	Cercocarpus betuloides	leaf_size	NA	2.85	cm2	NA	NA	NA	NA	NA	NA
7	37	ackerly04	85	Cercocarpus betuloides	leaf_size	NA	1.11	cm2	NA	NA	NA	NA	NA	NA
8	1	ackerly04	1	Ceanothus arboreus	leaf_size	NA	15.13	cm2	NA	NA	NA	NA	NA	NA
9	16	ackerly04	32	Ceanothus hearstiorum	leaf_size	NA	1.61	cm2	NA	NA	NA	NA	NA	NA
10	30	ackerly04	67	Ceanothus prostratus	leaf_size	NA	0.63	cm2	NA	NA	NA	NA	NA	NA
11	11	ackerly04	22	Ceanothus foliosus	leaf_size	NA	0.35	cm2	NA	NA	NA	NA	NA	NA
12	4	ackerly04	9	Ceanothus cuneatus var. cuneatus	leaf_size	NA	1.1	cm2	NA	NA	NA	NA	NA	NA
13	33	ackerly04	81	Ceanothus thyrsiflorus	leaf_size	NA	3.85	cm2	NA	NA	NA	NA	NA	NA
14	23	ackerly04	51	Ceanothus maritimus	leaf_size	NA	1.87	cm2	NA	NA	NA	NA	NA	NA
15	14	ackerly04	27	Ceanothus gloriosus var. porrectus	leaf_size	NA	0.7	cm2	NA	NA	NA	NA	NA	NA
16	19	ackerly04	43	Ceanothus integerrimus	leaf_size	NA	5.03	cm2	NA	NA	NA	NA	NA	NA
17	7	ackerly04	16	Ceanothus cyaneus	leaf_size	NA	4.69	cm2	NA	NA	NA	NA	NA	NA
18	27	ackerly04	61	Ceanothus oliganthus var. oliganthus	leaf_size	NA	3.76	cm2	NA	NA	NA	NA	NA	NA
19	34	ackerly04	82	Ceanothus tomentosus	leaf_size	NA	1.97	cm2	NA	NA	NA	NA	NA	NA
20	35	ackerly04	83	Ceanothus velutinus var. hookeri	leaf_size	NA	35.42	cm2	NA	NA	NA	NA	NA	NA
21	17	ackerly04	36	Ceanothus impressus	leaf_size	NA	0.12	cm2	NA	NA	NA	NA	NA	NA
22	17	ackerly04	38	Ceanothus impressus	leaf_size	NA	0.07	cm2	NA	NA	NA	NA	NA	NA
23	16	ackerly04	34	Ceanothus hearstiorum	leaf_size	NA	0.4	cm2	NA	NA	NA	NA	NA	NA
24	15	ackerly04	29	Ceanothus griseus	leaf_size	NA	3.7	cm2	NA	NA	NA	NA	NA	NA
25	23	ackerly04	49	Ceanothus maritimus	leaf_size	NA	1.64	cm2	NA	NA	NA	NA	NA	NA
26	33	ackerly04	75	Ceanothus thyrsiflorus	leaf_size	NA	7.27	cm2	NA	NA	NA	NA	NA	NA
27	16	ackerly04	33	Ceanothus hearstiorum	leaf_size	NA	1.23	cm2	NA	NA	NA	NA	NA	NA
28	6	ackerly04	14	Ceanothus cuneatus var. rigidus	leaf_size	NA	0.23	cm2	NA	NA	NA	NA	NA	NA
29	11	ackerly04	21	Ceanothus foliosus	leaf_size	NA	0.15	cm2	NA	NA	NA	NA	NA	NA
30	25	ackerly04	57	Ceanothus megacarpus var. insularis	leaf_size	NA	1.01	cm2	NA	NA	NA	NA	NA	NA
31	33	ackerly04	77	Ceanothus thyrsiflorus	leaf_size	NA	4.02	cm2	NA	NA	NA	NA	NA	NA
32	5	ackerly04	12	Ceanothus cuneatus var. fascicularis	leaf_size	NA	0.69	cm2	NA	NA	NA	NA	NA	NA
33	3	ackerly04	7	Ceanothus crassifolius	leaf_size	NA	4.45	cm2	NA	NA	NA	NA	NA	NA
34	14	ackerly04	26	Ceanothus gloriosus var. porrectus	leaf_size	NA	2.8	cm2	NA	NA	NA	NA	NA	NA
35	33	ackerly04	71	Ceanothus thyrsiflorus	leaf_size	NA	18.51	cm2	NA	NA	NA	NA	NA	NA
36	28	ackerly04	63	Ceanothus oliganthus var. sorediatus	leaf_size	NA	2.18	cm2	NA	NA	NA	NA	NA	NA
37	29	ackerly04	65	Ceanothus papillosus	leaf_size	NA	4.47	cm2	NA	NA	NA	NA	NA	NA
38	22	ackerly04	47	Ceanothus leucodermis	leaf_size	NA	3.22	cm2	NA	NA	NA	NA	NA	NA
39	23	ackerly04	50	Ceanothus maritimus	leaf_size	NA	0.96	cm2	NA	NA	NA	NA	NA	NA
40	33	ackerly04	73	Ceanothus thyrsiflorus	leaf_size	NA	2.53	cm2	NA	NA	NA	NA	NA	NA
41	31	ackerly04	69	Ceanothus purpureus	leaf_size	NA	1.92	cm2	NA	NA	NA	NA	NA	NA
42	32	ackerly04	70	Ceanothus spinosus	leaf_size	NA	4.05	cm2	NA	NA	NA	NA	NA	NA
43	28	ackerly04	64	Ceanothus oliganthus var. sorediatus	leaf_size	NA	2.92	cm2	NA	NA	NA	NA	NA	NA
44	33	ackerly04	78	Ceanothus thyrsiflorus	leaf_size	NA	1.55	cm2	NA	NA	NA	NA	NA	NA
45	11	ackerly04	20	Ceanothus foliosus	leaf_size	NA	1.41	cm2	NA	NA	NA	NA	NA	NA
46	24	ackerly04	56	Ceanothus masonii	leaf_size	NA	1.62	cm2	NA	NA	NA	NA	NA	NA
47	24	ackerly04	55	Ceanothus masonii	leaf_size	NA	1.92	cm2	NA	NA	NA	NA	NA	NA
48	27	ackerly04	62	Ceanothus oliganthus var. oliganthus	leaf_size	NA	2.35	cm2	NA	NA	NA	NA	NA	NA
49	4	ackerly04	10	Ceanothus cuneatus var. cuneatus	leaf_size	NA	0.59	cm2	NA	NA	NA	NA	NA	NA
50	36	ackerly04	84	Ceanothus verrucosus	leaf_size	NA	1.71	cm2	NA	NA	NA	NA	NA	NA
51	19	ackerly04	42	Ceanothus integerrimus	leaf_size	NA	2.61	cm2	NA	NA	NA	NA	NA	NA
52	27	ackerly04	60	Ceanothus oliganthus var. oliganthus	leaf_size	NA	3.01	cm2	NA	NA	NA	NA	NA	NA
53	5	ackerly04	13	Ceanothus cuneatus var. fascicularis	leaf_size	NA	1.2	cm2	NA	NA	NA	NA	NA	NA
54	12	ackerly04	23	Ceanothus gloriosus var. exaltatus	leaf_size	NA	4.66	cm2	NA	NA	NA	NA	NA	NA
55	33	ackerly04	72	Ceanothus thyrsiflorus	leaf_size	NA	2.16	cm2	NA	NA	NA	NA	NA	NA
56	33	ackerly04	79	Ceanothus thyrsiflorus	leaf_size	NA	2.73	cm2	NA	NA	NA	NA	NA	NA
57	33	ackerly04	76	Ceanothus thyrsiflorus	leaf_size	NA	3.07	cm2	NA	NA	NA	NA	NA	NA
58	16	ackerly04	35	Ceanothus hearstiorum	leaf_size	NA	3.27	cm2	NA	NA	NA	NA	NA	NA
59	31	ackerly04	68	Ceanothus purpureus	leaf_size	NA	3.27	cm2	NA	NA	NA	NA	NA	NA
