id	family	genus	taxon	trait	N	dstate	cval	units
1	Rhamnaceae	Ceanothus	Ceanothus arboreus	leaf_size	3	NA	15.9	cm2
2	Rhamnaceae	Ceanothus	Ceanothus cordulatus	leaf_size	1	NA	4.55	cm2
3	Rhamnaceae	Ceanothus	Ceanothus crassifolius	leaf_size	3	NA	2.83	cm2
4	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. cuneatus	leaf_size	4	NA	1.74	cm2
5	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. fascicularis	leaf_size	2	NA	0.945	cm2
6	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. rigidus	leaf_size	2	NA	0.36	cm2
7	Rhamnaceae	Ceanothus	Ceanothus cyaneus	leaf_size	1	NA	4.69	cm2
8	Rhamnaceae	Ceanothus	Ceanothus divergens	leaf_size	1	NA	1.38	cm2
9	Rhamnaceae	Ceanothus	Ceanothus diversifolius	leaf_size	1	NA	0.94	cm2
10	Rhamnaceae	Ceanothus	Ceanothus ferrisiae	leaf_size	1	NA	1.58	cm2
11	Rhamnaceae	Ceanothus	Ceanothus foliosus	leaf_size	3	NA	0.637	cm2
12	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. exaltatus	leaf_size	2	NA	5.29	cm2
13	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. gloriosus	leaf_size	1	NA	0.95	cm2
14	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. porrectus	leaf_size	2	NA	1.75	cm2
15	Rhamnaceae	Ceanothus	Ceanothus griseus	leaf_size	4	NA	3.32	cm2
16	Rhamnaceae	Ceanothus	Ceanothus hearstiorum	leaf_size	4	NA	1.63	cm2
17	Rhamnaceae	Ceanothus	Ceanothus impressus	leaf_size	3	NA	0.117	cm2
18	Rhamnaceae	Ceanothus	Ceanothus incanus	leaf_size	2	NA	5.42	cm2
19	Rhamnaceae	Ceanothus	Ceanothus integerrimus	leaf_size	3	NA	4.36	cm2
20	Rhamnaceae	Ceanothus	Ceanothus jepsonii var. jepsonii	leaf_size	2	NA	1.88	cm2
21	Rhamnaceae	Ceanothus	Ceanothus lemmonii	leaf_size	1	NA	4.77	cm2
22	Rhamnaceae	Ceanothus	Ceanothus leucodermis	leaf_size	1	NA	3.22	cm2
23	Rhamnaceae	Ceanothus	Ceanothus maritimus	leaf_size	7	NA	1.15	cm2
24	Rhamnaceae	Ceanothus	Ceanothus masonii	leaf_size	2	NA	1.77	cm2
25	Rhamnaceae	Ceanothus	Ceanothus megacarpus var. insularis	leaf_size	2	NA	1.35	cm2
26	Rhamnaceae	Ceanothus	Ceanothus megacarpus var. megacarpus	leaf_size	1	NA	4.3	cm2
27	Rhamnaceae	Ceanothus	Ceanothus oliganthus var. oliganthus	leaf_size	3	NA	3.04	cm2
28	Rhamnaceae	Ceanothus	Ceanothus oliganthus var. sorediatus	leaf_size	2	NA	2.55	cm2
29	Rhamnaceae	Ceanothus	Ceanothus papillosus	leaf_size	2	NA	2.55	cm2
30	Rhamnaceae	Ceanothus	Ceanothus prostratus	leaf_size	1	NA	0.63	cm2
31	Rhamnaceae	Ceanothus	Ceanothus purpureus	leaf_size	2	NA	2.6	cm2
32	Rhamnaceae	Ceanothus	Ceanothus spinosus	leaf_size	1	NA	4.05	cm2
33	Rhamnaceae	Ceanothus	Ceanothus thyrsiflorus	leaf_size	11	NA	4.83	cm2
34	Rhamnaceae	Ceanothus	Ceanothus tomentosus	leaf_size	1	NA	1.97	cm2
35	Rhamnaceae	Ceanothus	Ceanothus velutinus var. hookeri	leaf_size	1	NA	35.4	cm2
36	Rhamnaceae	Ceanothus	Ceanothus verrucosus	leaf_size	1	NA	1.71	cm2
37	Rosaceae	Cercocarpus	Cercocarpus betuloides	leaf_size	2	NA	1.98	cm2
38	Rhamnaceae	Ceanothus	Ceanothus arboreus	specific_leaf_area	3	NA	92.8	cm2/g
39	Rhamnaceae	Ceanothus	Ceanothus cordulatus	specific_leaf_area	1	NA	418	cm2/g
40	Rhamnaceae	Ceanothus	Ceanothus crassifolius	specific_leaf_area	3	NA	30	cm2/g
41	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. cuneatus	specific_leaf_area	4	NA	51.9	cm2/g
42	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. fascicularis	specific_leaf_area	2	NA	49.4	cm2/g
43	Rhamnaceae	Ceanothus	Ceanothus cuneatus var. rigidus	specific_leaf_area	2	NA	46.4	cm2/g
44	Rhamnaceae	Ceanothus	Ceanothus cyaneus	specific_leaf_area	1	NA	84.9	cm2/g
45	Rhamnaceae	Ceanothus	Ceanothus divergens	specific_leaf_area	1	NA	35.5	cm2/g
46	Rhamnaceae	Ceanothus	Ceanothus diversifolius	specific_leaf_area	1	NA	121	cm2/g
47	Rhamnaceae	Ceanothus	Ceanothus ferrisiae	specific_leaf_area	1	NA	29.2	cm2/g
48	Rhamnaceae	Ceanothus	Ceanothus foliosus	specific_leaf_area	3	NA	71.6	cm2/g
49	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. exaltatus	specific_leaf_area	2	NA	48.4	cm2/g
50	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. gloriosus	specific_leaf_area	1	NA	35.2	cm2/g
51	Rhamnaceae	Ceanothus	Ceanothus gloriosus var. porrectus	specific_leaf_area	2	NA	64	cm2/g
52	Rhamnaceae	Ceanothus	Ceanothus griseus	specific_leaf_area	4	NA	64.7	cm2/g
53	Rhamnaceae	Ceanothus	Ceanothus hearstiorum	specific_leaf_area	3	NA	86.1	cm2/g
54	Rhamnaceae	Ceanothus	Ceanothus impressus	specific_leaf_area	3	NA	73.3	cm2/g
55	Rhamnaceae	Ceanothus	Ceanothus incanus	specific_leaf_area	2	NA	80.3	cm2/g
56	Rhamnaceae	Ceanothus	Ceanothus integerrimus	specific_leaf_area	3	NA	104	cm2/g
57	Rhamnaceae	Ceanothus	Ceanothus jepsonii var. jepsonii	specific_leaf_area	2	NA	29.4	cm2/g
58	Rhamnaceae	Ceanothus	Ceanothus lemmonii	specific_leaf_area	1	NA	147	cm2/g
59	Rhamnaceae	Ceanothus	Ceanothus leucodermis	specific_leaf_area	1	NA	85.8	cm2/g
60	Rhamnaceae	Ceanothus	Ceanothus maritimus	specific_leaf_area	7	NA	34	cm2/g
