,Species,Individual,Total.leaf.area..in2.,Ave..leaf.area..in2.,leafArea,Ave..oven.dry.mass..mg.,Total.oven.dry.mass..mg.,Total.oven.dry.mass..g.,Number.of.leaves,sla,Notes,lat,long,l.sla,precip,temp,cwd,ldmc,height
1,Baccharis pilularis,7,19.397,0.412702128,266.2589047,25.74468085,1210,1.21,47,10.34228803,,37.87166,-122.23074,1.014616629,6.612081357,14.19458333,813.5,321.014512,0.9
2,Artemesia californica,8,1.359,0.06795,43.838622,3.19,63.8,0.0638,20,13.74251473,,37.87157,-122.2307,1.138066211,6.612081357,14.19458333,813.5,230.4080896,0.75
3,Umbellularia californica,9,23.302,2.3302,1503.351832,206.37,2063.7,2.0637,10,7.284740185,,37.86968,-122.2448,0.862414067,6.538139824,13.96083333,725.3,524.6872775,4.968148618
4,Avena spp.,10,8.967,2.989,1928.38324,71.2,213.6,0.2136,3,27.08403427,,37.86965,-122.24501,1.432713355,6.538139824,13.96083333,725.3,193.0236761,0.8
5,Quercus agrifolia,11,33.686,4.812285714,3104.694251,292.6285714,2048.4,2.0484,7,10.60967573,Tree gowing in shade,37.86972,-122.23915,1.02570211,6.538139824,13.96083333,771.2,438.5544232,30.77414115
6,Quercus agrifolia,11A,13.343,1.667875,1076.046235,181.05,1448.4,1.4484,8,5.94336501,,37.87302,-122.25177,0.774032403,6.538675136,13.78875,764.9,507.6939255,15.06344934
7,Avena spp.,12,2.019,1.0095,651.28902,16.25,32.5,0.0325,2,40.07932431,,37.873,-122.25175,1.602920391,6.538675136,13.78875,764.9,168.6559419,0.55
8,Baccharis pilularis,13,8.666,0.541625,349.434785,24.15,386.4,0.3864,16,14.46934928,,37.87302,-122.25172,1.160449,6.538675136,13.78875,764.9,247.8670858,3.337950293
9,Aesculus californica,14,25.441,5.0882,3282.703112,208.68,1043.4,1.0434,5,15.73079889,,37.87267,-122.25106,1.196750779,6.538675136,13.78875,764.9,252.6331082,6.632986892
10,Pinus sabiniana,15,2.736,0.456,294.19296,99.11666667,594.7,0.5947,6,2.968148243,,38.48307,-122.1492,0.472485588,6.571163035,15.54375,845.4,551.9769816,43.60374074
11,Aesculus californica,16,22.812,3.802,2452.89832,190.8833333,1145.3,1.1453,6,12.85024877,,38.48314,-122.14939,1.108911535,6.571163035,15.54375,845.4,252.6917307,9.04435321
12,Quercus wislizeni,17,16.743,1.287923077,830.9164523,112.6,1463.8,1.4638,13,7.379364585,,38.48314,-122.14941,0.868018968,6.571163035,15.54375,845.4,448.5231033,14.62332384
13,Baccharis pilularis,18,6.034,0.274272727,176.9497927,15.53181818,341.7,0.3417,22,11.39272883,,38.47576,-122.14331,1.05662776,6.605595576,15.33666667,875.8,293.3550824,2.25
