id	taxon	trait	dstate	value	units	country	state	created.by	created.date
1	Asplenium septentrionale	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2	Asplenium trichomanes ssp. trichomanes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3	Asplenium trichomanes-ramosum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
4	Asplenium vespertinum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
5	Azolla filiculoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
6	Azolla mexicana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
7	Blechnum spicant	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
8	Woodwardia fimbriata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
9	Pteridium aquilinum var. pubescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
10	Athyrium alpestre var. americanum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
11	Athyrium filix-femina var. cyclosorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
12	Cyrtomium falcatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
13	Cystopteris fragilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
14	Dryopteris arguta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
15	Dryopteris expansa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
16	Dryopteris filix-mas	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
17	Polystichum californicum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
18	Polystichum dudleyi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
19	Polystichum imbricans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
20	Polystichum imbricans ssp. curtum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
21	Polystichum imbricans ssp. imbricans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
22	Polystichum kruckebergii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
23	Polystichum lemmonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
24	Polystichum lonchitis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
25	Polystichum munitum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
26	Polystichum scopulinum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
27	Woodsia oregana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
