id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
1	Asplenium septentrionale	2500	3350	no	yes
2	Asplenium trichomanes ssp. trichomanes	150	250	no	yes
3	Asplenium trichomanes-ramosum	2000	2100	no	yes
4	Asplenium vespertinum	500	1000	yes	yes
5	Azolla filiculoides	0	1600	no	yes
6	Azolla mexicana	50	150	no	yes
7	Blechnum spicant	0	1500	no	yes
8	Woodwardia fimbriata	0	2300	no	yes
9	Pteridium aquilinum var. pubescens	0	3200	no	yes
10	Athyrium alpestre var. americanum	1700	3700	no	yes
11	Athyrium filix-femina var. cyclosorum	0	3200	no	yes
12	Cyrtomium falcatum	0	900	no	no
13	Cystopteris fragilis	50	3800	no	yes
14	Dryopteris arguta	0	2500	no	yes
15	Dryopteris expansa	0	500	no	yes
16	Dryopteris filix-mas	2400	3100	no	yes
17	Polystichum californicum	0	800	no	yes
18	Polystichum dudleyi	0	500	yes	yes
19	Polystichum imbricans	300	2500	no	yes
20	Polystichum imbricans ssp. curtum	400	1600	yes	yes
21	Polystichum imbricans ssp. imbricans	300	2500	no	yes
22	Polystichum kruckebergii	2100	3200	no	yes
23	Polystichum lemmonii	1200	2600	no	yes
24	Polystichum lonchitis	1800	2600	no	yes
25	Polystichum munitum	0	1600	no	yes
26	Polystichum scopulinum	400	3200	no	yes
27	Woodsia oregana	900	2800	no	yes
28	Woodsia plummerae	1600	2000	no	yes
29	Woodsia scopulina	1300	3500	no	yes
30	Equisetum arvense	0	3000	no	yes
31	Equisetum hyemale ssp. affine	0	2500	no	yes
32	Equisetum laevigatum	0	3000	no	yes
33	Equisetum palustre	0	1000	no	yes
34	Equisetum telmateia ssp. braunii	0	1000	no	yes
35	Isoetes bolanderi	1500	4300	no	yes
36	Isoetes echinospora	1500	4300	no	yes
37	Isoetes howellii	0	1500	no	yes
38	Isoetes nuttallii	0	1500	no	yes
39	Isoetes occidentalis	1500	4300	no	yes
40	Isoetes orcuttii	0	1700	yes	yes
41	Lycopodiella inundata	0	50	no	yes
42	Lycopodium clavatum	0	200	no	yes
43	Marsilea oligospora	1400	2000	no	yes
44	Marsilea vestita ssp. vestita	0	2200	no	yes
45	Pilularia americana	0	1500	no	yes
46	Botrychium ascendens	1500	1800	no	yes
47	Botrychium crenulatum	1500	2500	no	yes
48	Botrychium lunaria	3000	3400	no	yes
49	Botrychium minganense	1500	1800	no	yes
50	Botrychium montanum	1500	1800	no	yes
51	Botrychium multifidum	0	2800	no	yes
52	Botrychium pinnatum	1950	2050	no	yes
53	Botrychium simplex	2200	3300	no	yes
54	Ophioglossum californicum	60	300	no	yes
55	Ophioglossum pusillum	1000	2000	no	yes
56	Polypodium californicum	0	1520	yes	yes
57	Polypodium calirhiza	0	1220	no	yes
58	Polypodium glycyrrhiza	0	600	no	yes
59	Polypodium hesperium	1400	2980	no	yes
60	Polypodium scouleri	0	610	no	yes
61	Adiantum aleuticum	0	3400	no	yes
62	Adiantum capillus-veneris	0	2000	no	yes
63	Adiantum jordanii	0	1200	no	yes
64	Argyrochosma jonesii	400	1800	no	yes
65	Argyrochosma limitanea var. limitanea	1750	1850	no	yes
66	Aspidotis californica	20	1300	yes	yes
67	Aspidotis carlotta-halliae	100	1400	yes	yes
68	Aspidotis densa	100	3400	no	yes
69	Astrolepis cochisensis	900	1800	no	yes
70	Cheilanthes clevelandii	200	1000	yes	yes
71	Cheilanthes cooperae	100	800	yes	yes
72	Cheilanthes covillei	600	2400	no	yes
73	Cheilanthes feei	1200	3000	no	yes
74	Cheilanthes gracillima	400	3200	no	yes
75	Cheilanthes intertexta	300	2800	no	yes
76	Cheilanthes newberryi	100	800	yes	yes
77	Cheilanthes parryi	100	1500	no	yes
78	Cheilanthes viscida	100	1600	no	yes
79	Cheilanthes wootonii	1600	1800	no	yes
80	Cryptogramma acrostichoides	1400	3300	no	yes
81	Cryptogramma cascadensis	2100	3400	no	yes
82	Notholaena californica	200	1300	no	yes
83	Pellaea andromedifolia	30	1800	yes	yes
84	Pellaea brachyptera	700	2200	no	yes
85	Pellaea breweri	1500	3700	no	yes
86	Pellaea bridgesii	1200	3200	no	yes
87	Pellaea mucronata	20	3000	no	yes
88	Pellaea mucronata var. californica	1800	3000	no	yes
89	Pellaea mucronata var. mucronata	20	2400	no	yes
90	Pellaea truncata	1200	1900	no	yes
91	Pentagramma pallida	100	1200	yes	yes
92	Pentagramma triangularis	0	2300	no	yes
93	Pentagramma triangularis ssp. maxonii	300	1400	no	yes
94	Pentagramma triangularis ssp. triangularis	0	2300	no	yes
95	Pentagramma triangularis ssp. viscosa	0	800	yes	yes
96	Pteris cretica	0	500	no	no
97	Pteris tremula	550	650	no	no
98	Pteris vittata	400	800	no	no
99	Selaginella asprella	1600	2700	yes	yes
100	Selaginella bigelovii	0	2000	no	yes
101	Selaginella cinerascens	0	300	yes	yes
102	Selaginella densa var. scopulorum	1500	2200	no	yes
103	Selaginella eremophila	0	900	no	yes
104	Selaginella hansenii	250	1500	yes	yes
105	Selaginella leucobryoides	600	2300	no	yes
106	Selaginella oregana	0	300	no	yes
107	Selaginella wallacei	0	1700	no	yes
108	Selaginella watsonii	2300	4100	no	yes
109	Thelypteris nevadensis	800	1700	no	yes
110	Thelypteris puberula var. sonorensis	50	550	no	yes
111	Calocedrus decurrens	350	2500	no	yes
112	Cupressus abramsiana	450	800	yes	yes
113	Cupressus arizonica	750	1800	no	yes
114	Cupressus arizonica ssp. arizonica	900	1200	no	yes
115	Cupressus arizonica ssp. nevadensis	750	1800	yes	yes
116	Cupressus bakeri	1100	1800	no	yes
117	Cupressus forbesii	450	1500	yes	yes
118	Cupressus goveniana	0	500	no	yes
119	Cupressus goveniana ssp. goveniana	30	300	yes	yes
120	Cupressus goveniana ssp. pygmaea	0	500	yes	yes
121	Cupressus lawsoniana	0	1700	no	yes
122	Cupressus macnabiana	300	850	yes	yes
123	Cupressus macrocarpa	0	30	yes	yes
124	Cupressus nootkatensis	650	2500	no	yes
125	Cupressus sargentii	200	1000	yes	yes
126	Juniperus californica	50	1500	no	yes
