id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
372	Acer macrophyllum	Mean vessel area	NA	0.5658	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer macrophyllum	vessel_area	NA	0.5658	NA	NA	mm2
373	Acer negundo var. californicum	Mean vessel area	NA	0.4968	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer negundo var. californicum	vessel_area	NA	0.4968	NA	NA	mm2
374	Adenostoma fasciculatum	Mean vessel area	NA	0.1646	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Adenostoma fasciculatum	vessel_area	NA	0.1646	NA	NA	mm2
375	Aesculus californica	Mean vessel area	NA	0.3266	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Aesculus californica	vessel_area	NA	0.3266	NA	NA	mm2
376	Alnus rhombifolia	Mean vessel area	NA	0.5095	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Alnus rhombifolia	vessel_area	NA	0.5095	NA	NA	mm2
377	Amelanchier utahensis	Mean vessel area	NA	0.2399	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Amelanchier utahensis	vessel_area	NA	0.2399	NA	NA	mm2
378	Arbutus menziesii	Mean vessel area	NA	0.3123	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Arbutus menziesii	vessel_area	NA	0.3123	NA	NA	mm2
379	Artemisia californica	Mean vessel area	NA	0.2052	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Artemisia californica	vessel_area	NA	0.2052	NA	NA	mm2
380	Baccharis pilularis	Mean vessel area	NA	0.1374	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Baccharis pilularis	vessel_area	NA	0.1374	NA	NA	mm2
381	Ceanothus cuneatus var. cuneatus	Mean vessel area	NA	0.1394	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus cuneatus var. cuneatus	vessel_area	NA	0.1394	NA	NA	mm2
382	Ceanothus oliganthus var. sorediatus	Mean vessel area	NA	0.1776	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus oliganthus var. sorediatus	vessel_area	NA	0.1776	NA	NA	mm2
383	Cercocarpus betuloides var. betuloides	Mean vessel area	NA	0.2592	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cercocarpus betuloides var. betuloides	vessel_area	NA	0.2592	NA	NA	mm2
384	Clematis lasiantha	Mean vessel area	NA	0.8287	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Clematis lasiantha	vessel_area	NA	0.8287	NA	NA	mm2
385	Cornus glabrata	Mean vessel area	NA	0.3142	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus glabrata	vessel_area	NA	0.3142	NA	NA	mm2
386	Cornus sericea ssp. sericea	Mean vessel area	NA	0.4442	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus sericea ssp. sericea	vessel_area	NA	0.4442	NA	NA	mm2
