id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
1	Actinocheita filicina		Mexico	Guerrero	NA	NA	UCJEP	933137		D. Ackerly	7/13/06			ANACARDIACEAE	Actinocheita filicina	Actinocheita	filicina		Guerrero, Mex	herbarium	2/20/03		Sun	LfDat01/UCJEP.2003	1			64.52				7
2	Actinocheita filicina	1	Mexico	Guerrero	NA	NA	UCJEP	1594744		D. Ackerly	7/13/06			ANACARDIACEAE	Actinocheita filicina	Actinocheita	filicina		Guerrero, Mex	herbarium	2/20/03	1	Sun	LfDat01/UCJEP.2003	2		14.30	60.83				7
3	Adenostoma fasciculatum	10	USA	CA	NA	Christi Ridge	UCSC	81.161		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Christi Ridge	botanic garden	8/17/01	10	Sun	LfDat01.xls/UCSC.2001	59		0.05		0.40	0.05		1
4	Adenostoma fasciculatum	100	USA	CA	Contra Costa	NA	UCBG	58.0928		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Contra Costa Co.	botanic garden	02/15/01	100	Sun	LfDat01.xls/UCBG.2001	22	some overlap when doing leaf area; area somewhat greater than listed	0.01	39.65	0.63	0.08		1
5	Adenostoma fasciculatum	10	USA	CA	NA	Pfiefer Pt., Bug Sur	UCSC			D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Pfiefer Pt.	botanic garden	8/17/01	10	Sun	LfDat01.xls/UCSC.2001	60		0.06	18.90	0.47	0.05		1
6	Adenostoma fasciculatum	181	USA	CA	Santa Barabara	Santa Cruz Is	UCBG	84.0891		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Santa Cruz Is, Santa Barbara Co.	botanic garden	02/15/01	181	Sun	LfDat01.xls/UCBG.2001	21	some overlap when doing leaf area; area somewhat greater than listed	0.02	52.50	0.67	0.10		1
7	Adenostoma fasciculatum	3	NA	NA	NA	NA	SABG			D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	9	SLA was 3.94 ,removed pending review	0.05				715.40	1
8	Adenostoma fasciculatum	3	USA	CA	Calaveras	NA	UCJEP	44793		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Calaveras Co.	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	60		0.05	49.51	0.77	0.07		1
9	Adenostoma fasciculatum	3	USA	CA	Los Angeles	NA	UCJEP	1584250		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		L.A. Co, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	27		0.07	42.18	0.63	0.10		1
10	Adenostoma fasciculatum	3	NA	NA	NA	NA	UCJEP	M127717		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Miraposa Co, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	25		0.06	59.69	0.70	0.10		1
11	Adenostoma fasciculatum	3	USA	CA	NA	Santa Catalina Is	UCJEP	M234773		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Santa Catalina Is, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	24		0.05	56.67	0.77	0.08		1
12	Adenostoma fasciculatum	3	USA	CA	Santa Cruz	NA	UCJEP	555435		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Santa Cruz, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	28		0.03	54.73	0.60	0.10		1
13	Adenostoma fasciculatum	3	USA	CA	Santa Cruz	NA	UCJEP	380627		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Santa Cruz, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	26		0.05	50.34	0.73	0.10		1
14	Adenostoma fasciculatum	3	USA	CA	Santa Barabara	Santa Cruz Island	UCJEP	96316		D. Ackerly	7/13/06			ROSACEAE	Adenostoma fasciculatum	Adenostoma	fasciculatum		Santa Cruz Island	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	59		0.09	41.51	1.03	0.10		1
15	Adenostoma sparsifolium	16	NA	NA	NA	NA	UCBG	95.0534		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium			botanic garden	07/24/01	16	Sun	LfDat01.xls/UCBG.2001	118		0.12	82.59	1.03	0.60		1
16	Adenostoma sparsifolium	100	NA	NA	NA	NA	UCBG	54.0831		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium			botanic garden	02/15/01	100	Sun	LfDat01.xls/UCBG.2001	20	some overlap when doing leaf area; area somewhat greater than listed	0.01	20.50	0.73	0.05		1
17	Adenostoma sparsifolium	3	Mexico	Baja CA	NA	NA	UCJEP	1541207		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium		Baja California, Mexico	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	33		0.05	125.71	0.33	0.05		1
18	Adenostoma sparsifolium	3	Mexico	NA	NA	Canada el Duran	UCJEP	M298302		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium		Canada el Duran, Mexico	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	32		0.03	53.43	0.57	0.05		1
19	Adenostoma sparsifolium	3	USA	CA	San Diego	NA	UCJEP	M001463		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium		San Diego Co	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	29		0.03	49.58	0.50	0.05		1
20	Adenostoma sparsifolium	3	USA	CA	San Luis Obispo	NA	UCJEP	M292068		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium		San Luis Obispo Co.	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	31				0.65	0.05		1
21	Adenostoma sparsifolium	3	USA	CA	Sonoma?	Santa Rosa	UCJEP	1334754		D. Ackerly	7/13/06			ROSACEAE	Adenostoma sparsifolium	Adenostoma	sparsifolium		Santa Rosa	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	30		0.03	63.66	0.55	0.05		1
22	Adolphia californica	3	NA	NA	NA	NA	UCJEP	1		D. Ackerly	7/13/06			RHAMNACEAE	Adolphia californica	Adolphia	californica			herbarium	00xxxx	3	Sun	LfDat00.xls/UCJEP.2000	1		0.05	110.53	0.30	0.18		1
23	Adolphia californica	1	NA	NA	NA	NA	UCJEP	2		D. Ackerly	7/13/06			RHAMNACEAE	Adolphia californica	Adolphia	californica			herbarium	00xxxx	1	Sun	LfDat00.xls/UCJEP.2000	2			47.82				1
24	Adolphia infesta	3	Mexico	Baja CA	NA	NA	UCJEP	1		D. Ackerly	7/13/06			RHAMNACEAE	Adolphia infesta	Adolphia	infesta		Baja California, Mexico, Texas	herbarium	00xxxx	3	Sun	LfDat00.xls/UCJEP.2000	3		0.06	130.63	0.27	0.17		1
25	Adolphia infesta	1	NA	NA	NA	NA	UCJEP	3		D. Ackerly	7/13/06			RHAMNACEAE	Adolphia infesta	Adolphia	infesta			herbarium	00xxxx	1	Sun	LfDat00.xls/UCJEP.2000	5			97.53				1
26	Adolphia infesta	1	NA	NA	NA	NA	UCJEP	2		D. Ackerly	7/13/06			RHAMNACEAE	Adolphia infesta	Adolphia	infesta			herbarium	00xxxx	1	Sun	LfDat00.xls/UCJEP.2000	4			59.17				1
27	Alphitonia excelsa	4	NA	NA	NA	NA	UCBG	97.0403		D. Ackerly	7/13/06			RHAMNACEAE	Alphitonia excelsa	Alphitonia	excelsa			botanic garden	06/19/01	4	Sun	LfDat01.xls/UCBG.2001	57		23.62	88.09	9.73	3.30		1
