taxon	plot	abund	seed_mass	wood_density	leaf_size	specific_leaf_area	leaf_Nmass	maximum_height	vessel_density	vessel_area	leaf_area2sapwood_area	total_lumen_area	leaf_Narea
Acer macrophyllum	45	5	108.4742963	0.432317741	149.5312292	295.4804733	2.648282839	14.7	209.12	0.5658	157.93	118.322	0.896263232
Acer macrophyllum	47	5	108.4742963	0.432317741	149.5312292	295.4804733	2.648282839	14.7	209.12	0.5658	157.93	118.322	0.896263232
Acer negundo var. californicum	20	30	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	21	30	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	22	5	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	24	30	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	25	50	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	28	5	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Acer negundo var. californicum	31	70	28.01182627	0.491722977	20.0116574	263.5345059	2.476079805	15.5	244.11	0.4968	131.75	121.275	0.939565692
Adenostoma fasciculatum	4	50	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	6	50	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	7	15	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	10	70	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	11	30	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	12	50	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	14	15	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	16	30	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	18	70	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	30	15	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	37	30	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	39	70	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Adenostoma fasciculatum	49	15	0.858973267	0.751012489	0.062485587	57.21740832	1.018877691	4	779.05	0.1646	11.33	128.231	1.780712761
Aesculus californica	1	5	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	3	30	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	5	15	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	14	5	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	15	30	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	19	30	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	30	30	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	35	70	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	40	15	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	43	15	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	46	5	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	47	15	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	48	70	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Aesculus californica	50	30	35714.28571	0.482692187	19.47733774	182.7223471	2.057037097	14.4	397.9	0.3266	99.12	129.953	1.125772042
Alnus rhombifolia	22	5	0.519186301	0.524421251	31.99366667	287.6674493	3.364303308	26.1	305.59	0.5095	82.52	155.696	1.169511294
Alnus rhombifolia	45	30	0.519186301	0.524421251	31.99366667	287.6674493	3.364303308	26.1	305.59	0.5095	82.52	155.696	1.169511294
Alnus rhombifolia	47	15	0.519186301	0.524421251	31.99366667	287.6674493	3.364303308	26.1	305.59	0.5095	82.52	155.696	1.169511294
Amelanchier utahensis	50	30	9.324598837	0.798413987	2.9055	100.2242295	2.385534358	3.1	445.23	0.2399	10.99	106.811	2.380197254
Arbutus menziesii	7	5	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Arbutus menziesii	26	15	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Arbutus menziesii	40	5	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Arbutus menziesii	41	5	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Arbutus menziesii	45	5	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Arbutus menziesii	46	5	1.732900414	0.571839825	49.27275382	83.45616868	1.216582259	21.9	515.4	0.3123	82.66	160.959	1.457749953
Artemisia californica	6	5	0.06	0.752895991	0.245091705	111.4051714	1.88279823	2.6	607.2	0.2052	26.15	124.598	1.690045629
Artemisia californica	10	15	0.06	0.752895991	0.245091705	111.4051714	1.88279823	2.6	607.2	0.2052	26.15	124.598	1.690045629
Artemisia californica	11	5	0.06	0.752895991	0.245091705	111.4051714	1.88279823	2.6	607.2	0.2052	26.15	124.598	1.690045629
Artemisia californica	14	15	0.06	0.752895991	0.245091705	111.4051714	1.88279823	2.6	607.2	0.2052	26.15	124.598	1.690045629
Artemisia californica	16	30	0.06	0.752895991	0.245091705	111.4051714	1.88279823	2.6	607.2	0.2052	26.15	124.598	1.690045629
