id	taxon	LowEl	HighEl
1	Asplenium septentrionale	2500	3400
2	Asplenium trichomanes ssp. trichomanes	100	300
3	Asplenium trichomanes-ramosum	1900	2000
4	Asplenium vespertinum	500	1000
5	Azolla filiculoides	0	1600
6	Azolla mexicana	100	4100
7	Blechnum spicant	0	1500
8	Woodwardia fimbriata	0	2300
9	Pteridium aquilinum var. pubescens	0	3200
10	Athyrium alpestre var. americanum	1700	3700
11	Athyrium filix-femina var. cyclosorum	0	3200
12	Cyrtomium falcatum	0	900
13	Cystopteris fragilis	0	3800
14	Dryopteris arguta	0	2500
15	Dryopteris expansa	0	500
16	Dryopteris filix-mas	2400	3100
17	Polystichum californicum	0	800
18	Polystichum dudleyi	0	500
19	Polystichum imbricans	300	2500
20	Polystichum imbricans ssp. curtum	400	1600
21	Polystichum imbricans ssp. imbricans	300	2500
22	Polystichum kruckebergii	2100	3200
23	Polystichum lemmonii	1200	2600
24	Polystichum lonchitis	1800	2600
25	Polystichum munitum	0	1600
26	Polystichum scopulinum	400	3200
27	Woodsia oregana	900	2800
28	Woodsia plummerae	1600	2000
29	Woodsia scopulina	1400	3500
30	Equisetum arvense	0	3000
31	Equisetum hyemale ssp. affine	0	2500
32	Equisetum laevigatum	0	3000
33	Equisetum palustre	0	1000
34	Equisetum telmateia ssp. braunii	0	1000
35	Isoetes bolanderi	1500	4100
36	Isoetes echinospora	1500	4100
37	Isoetes howellii	0	1500
38	Isoetes nuttallii	0	1500
39	Isoetes occidentalis	1500	4100
40	Isoetes orcuttii	0	1700
41	Lycopodiella inundata	1000	4100
42	Lycopodium clavatum	0	200
43	Marsilea oligospora	1400	2000
44	Marsilea vestita ssp. vestita	0	2200
45	Pilularia americana	0	1500
46	Botrychium ascendens	1500	1800
47	Botrychium crenulatum	1500	2500
48	Botrychium lunaria	3000	3400
49	Botrychium minganense	1500	1800
50	Botrychium montanum	1500	1800
51	Botrychium multifidum	0	2800
52	Botrychium pinnatum	2000	4100
53	Botrychium simplex	2200	3300
54	Ophioglossum californicum	0	300
55	Ophioglossum pusillum	1000	2000
56	Polypodium californicum	0	1600
57	Polypodium calirhiza	0	1300
58	Polypodium glycyrrhiza	0	600
59	Polypodium hesperium	1400	3000
60	Polypodium scouleri	0	700
61	Adiantum aleuticum	0	3400
62	Adiantum capillus-veneris	0	2000
63	Adiantum jordanii	0	1200
64	Argyrochosma jonesii	400	1800
65	Argyrochosma limitanea var. limitanea	1700	1900
66	Aspidotis californica	0	1300
67	Aspidotis carlotta-halliae	100	1400
68	Aspidotis densa	100	3400
69	Astrolepis cochisensis	900	1800
70	Cheilanthes clevelandii	200	1000
71	Cheilanthes cooperae	100	800
72	Cheilanthes covillei	600	2400
73	Cheilanthes feei	1200	3000
74	Cheilanthes gracillima	400	3200
75	Cheilanthes intertexta	300	2800
76	Cheilanthes newberryi	100	800
77	Cheilanthes parryi	100	1500
78	Cheilanthes viscida	100	1600
79	Cheilanthes wootonii	1600	1800
80	Cryptogramma acrostichoides	1400	3300
81	Cryptogramma cascadensis	2100	3400
82	Notholaena californica	200	1300
83	Pellaea andromedifolia	0	1800
84	Pellaea brachyptera	700	2200
85	Pellaea breweri	1500	3700
86	Pellaea bridgesii	1200	3200
87	Pellaea mucronata	0	3000
88	Pellaea mucronata var. californica	1800	3000
89	Pellaea mucronata var. mucronata	0	2400
90	Pellaea truncata	1200	1900
91	Pentagramma pallida	100	1200
92	Pentagramma triangularis	0	2300
93	Pentagramma triangularis ssp. maxonii	300	1400
94	Pentagramma triangularis ssp. triangularis	0	2300
95	Pentagramma triangularis ssp. viscosa	0	800
96	Pteris cretica	0	500
97	Pteris tremula	500	700
98	Pteris vittata	400	800
99	Selaginella asprella	1600	2700
100	Selaginella bigelovii	0	2000
101	Selaginella cinerascens	0	300
102	Selaginella densa var. scopulorum	1500	2200
103	Selaginella eremophila	0	900
104	Selaginella hansenii	200	1500
105	Selaginella leucobryoides	600	2300
106	Selaginella oregana	0	300
107	Selaginella wallacei	0	1700
108	Selaginella watsonii	2300	4100
109	Thelypteris nevadensis	800	1700
110	Thelypteris puberula var. sonorensis	0	600
111	Calocedrus decurrens	300	2500
112	Cupressus abramsiana	400	800
113	Cupressus arizonica	700	1800
114	Cupressus arizonica ssp. arizonica	900	1200
115	Cupressus arizonica ssp. nevadensis	700	1800
116	Cupressus bakeri	1100	1800
117	Cupressus forbesii	400	1500
118	Cupressus goveniana	0	500
119	Cupressus goveniana ssp. goveniana	0	300
120	Cupressus goveniana ssp. pigmaea	0	500
121	Cupressus lawsoniana	0	1700
122	Cupressus macnabiana	300	900
123	Cupressus macrocarpa	0	100
124	Cupressus nootkatensis	600	2500
125	Cupressus sargentii	200	1000
126	Juniperus californica	0	1500
127	Juniperus communis	1900	3400
128	Juniperus occidentalis	100	3100
129	Juniperus occidentalis var. australis	100	3100
130	Juniperus occidentalis var. occidentalis	700	2300
131	Juniperus osteosperma	1300	2600
132	Thuja plicata	0	1800
133	Ephedra aspera	0	1500
134	Ephedra californica	0	900
135	Ephedra fasciculata	0	1500
136	Ephedra fasciculata var. clokeyi	0	1500
137	Ephedra fasciculata var. fasciculata	0	1500
138	Ephedra funerea	0	1700
139	Ephedra nevadensis	0	1100
140	Ephedra trifurca	0	2100
141	Ephedra viridis	900	2300
142	Abies amabilis	1700	2200
143	Abies bracteata	200	1600
144	Abies concolor	900	3100
145	Abies grandis	0	700
146	Abies lasiocarpa var. lasiocarpa	1700	2100
147	Abies magnifica	1200	2800
148	Abies magnifica var. magnifica	1200	2600
149	Abies magnifica var. shastensis	1300	2800
150	Abies procera	0	1500
151	Picea breweriana	500	2300
152	Picea engelmannii	1200	2100
153	Picea sitchensis	0	200
154	Pinus albicaulis	0	3700
155	Pinus attenuata	0	1900
156	Pinus balfouriana	2100	3700
157	Pinus balfouriana ssp. austrina	2700	3700
158	Pinus balfouriana ssp. balfouriana	2100	2500
159	Pinus contorta	0	3500
160	Pinus contorta ssp. bolanderi	0	300
161	Pinus contorta ssp. contorta	0	200
162	Pinus contorta ssp. murrayana	0	3500
163	Pinus coulteri	0	3000
164	Pinus edulis	1300	2700
165	Pinus flexilis	0	3700
166	Pinus jeffreyi	400	3100
167	Pinus lambertiana	0	3200
168	Pinus longaeva	2200	3700
169	Pinus monophylla	0	2800
170	Pinus monticola	100	3400
171	Pinus muricata	0	300
172	Pinus ponderosa	100	2300
173	Pinus quadrifolia	1100	1800
174	Pinus radiata	0	1200
175	Pinus sabiniana	100	1500
176	Pinus torreyana	0	200
177	Pinus washoensis	0	2700
178	Pseudotsuga macrocarpa	200	2400
179	Pseudotsuga menziesii var. menziesii	0	2200
180	Tsuga heterophylla	0	700
181	Tsuga mertensiana	1200	3500
182	Taxus brevifolia	0	1500
183	Torreya californica	0	2100
184	Sequoia sempervirens	0	1100
185	Sequoiadendron giganteum	800	2700
186	Carlowrightia arizonica	300	4100
187	Justicia californica	0	800
188	Acer circinatum	0	1500
189	Acer glabrum	1500	2800
190	Acer glabrum var. diffusum	1500	2800
191	Acer glabrum var. greenei	1500	2800
192	Acer glabrum var. torreyi	1500	2800
193	Acer macrophyllum	0	1500
194	Acer negundo var. californicum	0	1800
195	Aptenia cordifolia	0	100
196	Carpobrotus chilensis	0	100
197	Carpobrotus edulis	0	100
198	Conicosia pugioniformis	0	100
199	Cypselea humifusa	0	1000
200	Delosperma litorale	0	100
201	Drosanthemum floribundum	0	100
202	Malephora crocea	0	100
203	Mesembryanthemum crystallinum	0	100
204	Mesembryanthemum nodiflorum	0	100
205	Sesuvium verrucosum	0	1400
206	Tetragonia tetragonioides	0	100
207	Trianthema portulacastrum	0	1000
208	Alternanthera caracasana	0	200
209	Alternanthera philoxeroides	0	200
210	Amaranthus albus	0	2200
211	Amaranthus arenicola	0	200
212	Amaranthus blitoides	0	2200
213	Amaranthus californicus	0	2800
214	Amaranthus caudatus	0	200
215	Amaranthus cruentus	0	200
216	Amaranthus deflexus	0	700
217	Amaranthus fimbriatus	600	1700
218	Amaranthus hybridus	0	300
219	Amaranthus palmeri	0	1200
220	Amaranthus powellii	0	800
221	Amaranthus retroflexus	0	2400
222	Amaranthus spinosus	0	700
223	Amaranthus torreyi	1200	1700
224	Amaranthus watsonii	0	500
225	Guilleminea densa var. aggregata	0	100
226	Tidestromia lanuginosa	1200	4100
227	Tidestromia oblongifolia	0	1200
228	Malosma laurina	0	1000
229	Pistacia atlantica	0	100
230	Rhus integrifolia	0	900
231	Rhus ovata	0	1300
232	Rhus trilobata	0	2200
233	Schinus molle	0	700
234	Schinus terebinthifolius	0	200
235	Toxicodendron diversilobum	0	1700
236	Ammi majus	0	1000
237	Ammi visnaga	0	1000
238	Ammoselinum giganteum	400	4100
239	Anethum graveolens	0	1000
240	Angelica arguta	200	2000
241	Angelica breweri	1000	3000
242	Angelica californica	0	1500
243	Angelica callii	1100	2000
244	Angelica genuflexa	0	1000
245	Angelica hendersonii	0	100
246	Angelica kingii	1900	3000
247	Angelica lineariloba	2300	3000
248	Angelica lucida	0	100
249	Angelica tomentosa	600	2400
250	Anthriscus caucalis	0	400
251	Apiastrum angustifolium	0	1500
252	Apium graveolens	0	1000
253	Apium nodiflorum	0	1000
254	Berula erecta	0	1800
255	Bowlesia incana	0	1200
256	Bupleurum lancifolium	0	1000
257	Ciclospermum leptophyllum	0	200
258	Cicuta douglasii	0	2500
259	Cicuta maculata	0	2000
260	Cicuta maculata var. angustifolia	1500	2100
261	Cicuta maculata var. bolanderi	0	200
262	Conioselinum pacificum	0	100
263	Conium maculatum	0	1000
264	Coriandrum sativum	0	1000
265	Cymopterus aboriginum	1500	2500
266	Cymopterus cinerarius	2500	3500
267	Cymopterus deserticola	1500	4100
268	Cymopterus gilmanii	1000	2000
269	Cymopterus globosus	1200	2100
270	Cymopterus multinervatus	600	1500
271	Cymopterus panamintensis	700	2500
272	Cymopterus panamintensis var. acutifolius	700	1000
273	Cymopterus panamintensis var. panamintensis	800	2500
274	Cymopterus purpurascens	1300	2200
275	Cymopterus ripleyi	1000	1600
276	Cymopterus terebinthinus	100	3500
277	Cymopterus terebinthinus var. californicus	100	3500
278	Cymopterus terebinthinus var. petraeus	1800	3400
279	Daucus carota	0	1200
280	Daucus pusillus	0	1500
281	Eryngium alismifolium	1300	1800
282	Eryngium aristulatum	0	1000
283	Eryngium aristulatum var. aristulatum	0	1000
284	Eryngium aristulatum var. hooveri	0	1000
285	Eryngium aristulatum var. parishii	0	200
286	Eryngium armatum	0	200
287	Eryngium articulatum	0	1800
288	Eryngium castrense	0	800
289	Eryngium constancei	800	4100
290	Eryngium mathiasiae	1000	1500
291	Eryngium pinnatisectum	200	500
292	Eryngium racemosum	0	100
293	Eryngium spinosepalum	100	200
294	Eryngium vaseyi	0	600
295	Foeniculum vulgare	0	400
296	Glehnia littoralis ssp. leiocarpa	0	100
297	Heracleum lanatum	0	2600
298	Hydrocotyle moschata	100	4100
299	Hydrocotyle ranunculoides	0	1500
300	Hydrocotyle sibthorpioides	300	4100
301	Hydrocotyle umbellata	0	1000
302	Hydrocotyle verticillata	0	100
303	Ligusticum apiifolium	0	1800
304	Ligusticum californicum	0	1500
305	Ligusticum grayi	1400	3300
306	Lilaeopsis masonii	0	100
307	Lilaeopsis occidentalis	0	100
308	Lomatium bicolor var. leptocarpum	1000	2300
309	Lomatium californicum	100	1800
