species,chilefornia_northbay,chilefornia_california,fia_northbay,fia_california
Abies amabilis,0,22,0,2
Abies balsamea,NA,NA,0,0
Abies bracteata,0,183,NA,NA
Abies concolor,37,2881,16,1867
Abies grandis,86,189,28,81
Abies lasiocarpa,0,29,0,3
Abies magnifica,13,1152,1,502
Abies procera,1,58,0,5
Abies shastensis,NA,NA,0,75
Acacia caven,0,0,NA,NA
Acacia farnesiana,NA,NA,0,0
Acer barbatum,NA,NA,0,0
Acer circinatum,25,316,NA,NA
Acer glabrum,0,982,0,1
Acer grandidentatum,NA,NA,0,0
Acer macrophyllum,407,2638,54,374
Acer negundo,135,775,1,6
Acer nigrum,NA,NA,0,0
Acer pensylvanicum,NA,NA,0,0
Acer platanoides,NA,NA,0,0
Acer rubrum,NA,NA,0,0
Acer saccharinum,NA,NA,0,0
Acer saccharum,NA,NA,0,0
Acer spicatum,NA,NA,0,0
Acrisione cymosa,0,0,NA,NA
Acrisione denticulata,0,0,NA,NA
Adenostoma sparsifolium,0,250,NA,NA
Aesculus californica,472,2262,30,145
Aesculus flava,NA,NA,0,0
Aesculus glabra,NA,NA,0,0
Aextoxicon punctatum,0,0,NA,NA
Ailanthus altissima,NA,NA,0,1
Albizia julibrissin,NA,NA,0,0
Alnus incana,4,655,NA,NA
Alnus rhombifolia,NA,NA,6,94
Alnus rubra,210,578,15,162
Alnus viridis,0,118,NA,NA
Amelanchier alnifolia,33,505,NA,NA
Amelanchier arborea,NA,NA,0,0
Amelanchier utahensis,164,1989,NA,NA
Amomyrtus luma,0,0,NA,NA
Amomyrtus meli,0,0,NA,NA
Araucaria araucana,0,0,NA,NA
Arbutus menziesii,704,2346,344,911
Arctostaphylos columbiana,301,566,NA,NA
Arctostaphylos glauca,0,1116,NA,NA
Arctostaphylos pringlei,0,505,NA,NA
Arctostaphylos viscida,316,1993,NA,NA
Aristotelia chilensis,0,0,NA,NA
Artemisia copa,0,0,NA,NA
Artemisia tridentata,0,1269,NA,NA
Asimina triloba,NA,NA,0,0
Austrocedrus chilensis,0,0,NA,NA
Azara celastrina,0,0,NA,NA
Azara integrifolia,0,0,NA,NA
Azara lanceolata,0,0,NA,NA
Azara microphylla,0,0,NA,NA
Azara petiolaris,0,0,NA,NA
Azara serrata,0,0,NA,NA
Beilschmiedia berteroana,0,0,NA,NA
Beilschmiedia miersii,0,0,NA,NA
Berberis ilicifolia,0,0,NA,NA
Berberis valdiviana,0,0,NA,NA
Betula alleghaniensis,NA,NA,0,0
Betula lenta,NA,NA,0,0
Betula neoalaskana,0,0,NA,NA
Betula nigra,NA,NA,0,0
Betula occidentalis,0,359,NA,NA
Betula papyrifera,0,0,0,0
Betula populifolia,NA,NA,0,0
Blepharocalyx cruckshanksii,0,0,NA,NA
Buddleja globosa,0,0,NA,NA
Bursera fagaroides,0,0,NA,NA
Bursera microphylla,0,94,NA,NA
Caesalpinia spinosa,0,0,NA,NA
Caldcluvia paniculata,0,0,NA,NA
Calocedrus decurrens,79,2821,11,1443
Carpinus caroliniana,NA,NA,0,0
Carya alba,NA,NA,0,0
Carya aquatica,NA,NA,0,0
Carya cordiformis,NA,NA,0,0
Carya glabra,NA,NA,0,0
Carya illinoinensis,NA,NA,0,0
Carya laciniosa,NA,NA,0,0
Carya ovata,NA,NA,0,0
Carya pallida,NA,NA,0,0
Carya texana,NA,NA,0,0
Castanea dentata,NA,NA,0,0
Ceanothus arboreus,0,302,NA,NA
Ceanothus impressus,0,122,NA,NA
Ceanothus spinosus,0,332,NA,NA
Ceanothus thyrsiflorus,212,686,NA,NA
Ceanothus velutinus,121,1044,NA,NA
