species,hemisphere,chilefornia_northbay,chilefornia_california,chilefornia_westernNA,fia_northbay,fia_california,fia_westernNA
Abies amabilis,north,0,22,961,0,2,1540
Abies bracteata,north,0,183,183,NA,NA,NA
Abies concolor,north,37,2881,2755,16,1867,2553
Abies grandis,north,86,189,667,28,81,731
Abies lasiocarpa,north,0,29,373,0,3,249
Abies magnifica,north,13,1152,1119,1,502,478
Abies procera,north,1,58,353,0,5,573
Acacia caven,south,0,0,0,NA,NA,NA
Acer circinatum,north,25,316,1915,NA,NA,NA
Acer glabrum,north,0,982,1293,0,1,50
Acer macrophyllum,north,407,2638,5293,54,374,1850
Acer negundo,north,135,775,752,1,6,8
Acrisione cymosa,south,0,0,0,NA,NA,NA
Acrisione denticulata,south,0,0,0,NA,NA,NA
Adenostoma sparsifolium,north,0,250,222,NA,NA,NA
Aesculus californica,north,472,2262,2201,30,145,144
Aextoxicon punctatum,south,0,0,0,NA,NA,NA
Alnus incana,north,4,655,492,NA,NA,NA
Alnus rubra,north,210,578,2564,15,162,2740
Alnus viridis,north,0,118,355,NA,NA,NA
Amelanchier alnifolia,north,33,505,759,NA,NA,NA
Amelanchier utahensis,north,164,1989,1435,NA,NA,NA
Amomyrtus luma,south,0,0,0,NA,NA,NA
Amomyrtus meli,south,0,0,0,NA,NA,NA
Araucaria araucana,south,0,0,0,NA,NA,NA
Arbutus menziesii,north,704,2346,3153,344,911,1742
Arctostaphylos columbiana,north,301,566,776,NA,NA,NA
Arctostaphylos glauca,north,0,1116,900,NA,NA,NA
Arctostaphylos pringlei,north,0,505,384,NA,NA,NA
Arctostaphylos viscida,north,316,1993,2031,NA,NA,NA
Aristotelia chilensis,south,0,0,0,NA,NA,NA
Artemisia copa,south,0,0,0,NA,NA,NA
Artemisia tridentata,north,0,1269,616,NA,NA,NA
Austrocedrus chilensis,south,0,0,0,NA,NA,NA
Azara celastrina,south,0,0,0,NA,NA,NA
Azara integrifolia,south,0,0,0,NA,NA,NA
Azara lanceolata,south,0,0,0,NA,NA,NA
Azara microphylla,south,0,0,0,NA,NA,NA
Azara petiolaris,south,0,0,0,NA,NA,NA
Azara serrata,south,0,0,0,NA,NA,NA
Beilschmiedia berteroana,south,0,0,0,NA,NA,NA
