id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
1	Acer macrophyllum	Seed mass	108.474	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	seed_mass	108.4742963	mg
2	Acer negundo var. californicum	Seed mass	28.012	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	seed_mass	28.01182627	mg
3	Adenostoma fasciculatum	Seed mass	0.859	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	seed_mass	0.858973267	mg
4	Aesculus californica	Seed mass	35714.286	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	seed_mass	35714.28571	mg
5	Alnus rhombifolia	Seed mass	0.519	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	seed_mass	0.519186301	mg
6	Amelanchier utahensis	Seed mass	9.325	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	seed_mass	9.324598837	mg
7	Arbutus menziesii	Seed mass	1.733	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	seed_mass	1.732900414	mg
8	Artemisia californica	Seed mass	0.060	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	seed_mass	0.06	mg
9	Baccharis pilularis	Seed mass	0.110	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	seed_mass	0.109701761	mg
10	Ceanothus cuneatus var. cuneatus	Seed mass	8.833	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	seed_mass	8.832626778	mg
11	Ceanothus oliganthus var. sorediatus	Seed mass	4.030	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	seed_mass	4.030050368	mg
12	Cercocarpus betuloides var. betuloides	Seed mass	16.237	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	seed_mass	16.237	mg
13	Clematis lasiantha	Seed mass	4.041	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	seed_mass	4.041428571	mg
14	Cornus glabrata	Seed mass	37.726	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	seed_mass	37.726	mg
15	Cornus sericea ssp. sericea	Seed mass	29.225	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	seed_mass	29.22504439	mg
