order,TRY_species,species,chilefornia_northbay,chilefornia_california,fia_northbay,fia_california,PWD_code,SPECIES,COMMON.NAME,PWD_Ntree,PWD_Nsap,PWD_Nts ,PWD_Nhectares,notes,Species.ID.try
1,Abies amabilis,Abies amabilis,0,22,0,2,NA,NA,NA,NA,NA,NA,NA,NA,30
2,Abies bracteata,Abies bracteata,0,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
3,Abies concolor,Abies concolor,37,2881,16,1867,NA,NA,NA,NA,NA,NA,NA,NA,39
4,Abies grandis,Abies grandis,86,189,28,81,NA,NA,NA,NA,NA,NA,NA,NA,50
5,Abies lasiocarpa,Abies lasiocarpa,0,29,0,3,NA,NA,NA,NA,NA,NA,NA,NA,56
6,Abies magnifica,Abies magnifica,13,1152,1,502,NA,NA,NA,NA,NA,NA,NA,NA,57
7,Abies procera,Abies procera,1,58,0,5,NA,NA,NA,NA,NA,NA,NA,NA,67
8,Acacia caven,Acacia caven,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230
9,Acer circinatum,Acer circinatum,25,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803
10,Acer glabrum,Acer glabrum,0,982,0,1,NA,NA,NA,NA,NA,NA,NA,NA,818
11,Acer macrophyllum,Acer macrophyllum,407,2638,54,374,ACEMAC,Acer macrophyllum,Big Leaf Maple,NA,NA,NA,12,,833
12,Acer negundo,Acer negundo,135,775,1,6,NA,NA,NA,NA,NA,NA,NA,NA,841
13,Acrisione cymosa,Acrisione cymosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Acrisione denticulata,Acrisione denticulata,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73558
15,Adenostoma fasciculatum,Adenostoma fasciculatum,NA,NA,NA,NA,ADEFAS,Adenostoma fasciculatum,Chamise,8,3,0,NA,,1285
16,Adenostoma sparsifolium,Adenostoma sparsifolium,0,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1286
17,Aesculus californica,Aesculus californica,472,2262,30,145,AESCAL,Aesculus californica,Buckeye,19,5,2,65,,1566
18,Aextoxicon punctatum,Aextoxicon punctatum,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595
19,Alnus incana,Alnus incana,4,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2712
20,Alnus rhombifolia,Alnus rhombifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2725
21,Alnus rubra,Alnus rubra,210,578,15,162,NA,NA,NA,NA,NA,NA,NA,NA,2726
22,Alnus viridis,Alnus viridis,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Amelanchier alnifolia,Amelanchier alnifolia,33,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3173
24,Amelanchier utahensis,Amelanchier utahensis,164,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3193
25,Amomyrtus luma,Amomyrtus luma,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3229
26,Amomyrtus meli,Amomyrtus meli,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3230
27,Amorpha,Amorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202613
28,Amorpha californica,Amorpha californica,NA,NA,NA,NA,AMOCAL,Amorpha californica,California false indigo,53,339,14,NA,NA,3237
29,Araucaria araucana,Araucaria araucana,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4417
31,Arbutus menziesii,Arbutus menziesii,704,2346,344,911,ARBMEN,Arbutus menziesii,Madrone,129,128,11,255,NA,4443
32,Arctostaphylos columbiana,Arctostaphylos columbiana,301,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4505
33,Arctostaphylos glauca,Arctostaphylos glauca,0,1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4509
34,Arctostaphylos manzanita,Arctostaphylos manzanita,NA,NA,NA,NA,ARCMAN,Arctostaphylos manzanita,Manzanita,48,11,2,72,NA,4513
35,Arctostaphylos pringlei,Arctostaphylos pringlei,0,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65636
36,Arctostaphylos spp.,Arctostaphylos spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Check calflora/jepson to determine the most common species in the Bay Area - I think we should include A. manzanita and A. glandulosa,NA
37,Arctostaphylos viscida,Arctostaphylos viscida,316,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4532
38,Aristotelia chilensis,Aristotelia chilensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5070
39,Artemesia californica,Artemesia californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
40,Artemisia copa,Artemisia copa,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75418
41,Artemisia tridentata,Artemisia tridentata,0,1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5251
42,Austrocedrus chilensis,Austrocedrus chilensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6280
43,Avena spp.,Avena spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Check calflora/jepson to determine the most common species in the Bay Area,NA
44,Azara celastrina,Azara celastrina,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65877
45,Azara integrifolia,Azara integrifolia,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65878
46,Azara lanceolata,Azara lanceolata,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6467
47,Azara microphylla,Azara microphylla,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65879
48,Azara petiolaris,Azara petiolaris,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76091
49,Azara serrata,Azara serrata,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76092
50,Baccharis pilularis,Baccharis pilularis,NA,NA,NA,NA,BACPIL,Baccharis pilularis,Coyote bush,9,54,1,NA,,6545
51,Beilschmiedia berteroana,Beilschmiedia berteroana,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7098
52,Beilschmiedia miersii,Beilschmiedia miersii,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7131
53,Berberis ilicifolia,Berberis ilicifolia,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7212
54,Berberis valdiviana,Berberis valdiviana,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286371
55,Betula neoalaskana,Betula neoalaskana,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7351
56,Betula occidentalis,Betula occidentalis,0,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7354
57,Betula papyrifera,Betula papyrifera,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7355
58,Blepharocalyx cruckshanksii,Blepharocalyx cruckshanksii,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7557
59,Bromus spp.,Bromus spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Check calflora/jepson to determine the most common species in the Bay Area,NA
60,Buddleja globosa,Buddleja globosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8763
61,Bursera fagaroides,Bursera fagaroides,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77062
62,Bursera microphylla,Bursera microphylla,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8935
63,Caesalpinia spinosa,Caesalpinia spinosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9063
