,species,missing in TRY
1,Acrisione cymosa,x
2,Alnus viridis,x
3,Arctostaphylos spp.,spp
4,Artemesia californica,x
5,Avena spp.,spp
6,Bromus spp.,spp
7,Cercocarpus betuloides ,x
8,Chamaecyparis nootkaensis,x
9,Eucryphia glutinosa,x
10,Hesperocyparis bakeri,cupressus
11,Hesperocyparis forbesii,x
12,Hesperocyparis goveniana,cupressus
13,Hesperocyparis macnabiana,cupressus
14,Hesperocyparis macrocarpa,cupressus
15,Hesperocyparis sargentii,cupressus
16,Karwinskia humboldtiana,x
17,Lithocarpus densiflorus,notholithocarpus
18,Morella californica,x
19,Parkinsonia florida,x
20,Parkinsonia microphylla,x
21,Polylepis rugulosa,x
22,Polylepis tarapacana,x
23,Salix spp.,spp
24,Styrax redivivus,x
