"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"1","Abies amabilis","north",0,22,961,0,2,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abies bracteata","north",0,183,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abies concolor","north",37,2881,2755,16,1867,2553,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abies grandis","north",86,189,667,28,81,731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abies lasiocarpa","north",0,29,373,0,3,249,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abies magnifica","north",13,1152,1119,1,502,478,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abies procera","north",1,58,353,0,5,573,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acacia caven","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acer circinatum","north",25,316,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acer glabrum","north",0,982,1293,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Acer macrophyllum","north",407,2638,5293,54,374,1850,"ACEMAC","Acer macrophyllum","Big Leaf Maple",NA,NA,NA,12,1,""
"12","Acer negundo","north",135,775,752,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Acrisione cymosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Acrisione denticulata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Adenostoma fasciculatum",NA,NA,NA,NA,NA,NA,NA,"ADEFAS","Adenostoma fasciculatum","Chamise",8,3,0,NA,2,""
"16","Adenostoma sparsifolium","north",0,250,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aesculus californica","north",472,2262,2201,30,145,144,"AESCAL","Aesculus californica","Buckeye",19,5,2,65,3,""
"18","Aextoxicon punctatum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alnus incana","north",4,655,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Alnus rhombifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alnus rubra","north",210,578,2564,15,162,2740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Alnus viridis","north",0,118,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Amelanchier alnifolia","north",33,505,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Amelanchier utahensis","north",164,1989,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Amomyrtus luma","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Amomyrtus meli","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Amorpha californica",NA,NA,NA,NA,NA,NA,NA,"AMOCAL","Amorpha californica","California false indigo",53,339,14,NA,NA,NA
"29","Araucaria araucana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
