CODE,SPECIES,COMMON NAME ,,TR,SA,TS,hectares,
HETARB,Heteromeles arbutifolia,Toyon,,552,138,99,,
PSEMEN,Pseudotsuga menziesii,Douglas-fir,,519,368,,140,
UMBCAL,Umbellularia california,California Bay,,421,951,28,678,
QUEAGR,Quercus agrifolia,Coast live oak,,372,357,38,944,
QUEGAR,Quercus garryana,Oregon oak,,335,12,8,1480,
ARBMEN,Arbutus menziesii,Madrone,,129,128,11,255,
QUEKEL,Quercus kelloggii,Black oak,,79,3,,389,
QUEDOU,Quercus douglasii,Blue oak,,60,3,,276,
AMOCAL,Amorpha californica,California false indigo,,53,339,14,,
ARCMAN,Arctostaphylos manzanita,Manzanita,,48,11,2,72,
FRACAL,Frangula californica,Coffeeberry,,26,70,3,,
AESCAL,Aesculus californica,Buckeye,,19,5,2,65,
QUEBER,Quercus berberidifolia,Scrub oak,,12,38,2,,
NOTDEN,Notholithocarpus densiflora,Tanoak,,11,7,3,,
BACPIL,Baccharis pilularis,Coyote bush,,9,54,1,,
ADEFAS,Adenostoma fasciculatum,Chamise,,8,3,0,,
QUEBEGA,Quercus berberidifolia/garryanna ,Scrub oak/oregon oak ,,3,2,,,
PRUCER,Prunus cerasifera,Cherry plum,,2,3,,,
QUELOB,Quercus lobata,Valley oak,,2,,,14,
QUEWIS,Quercus wislizeni,Interior live oak,,1,,,,
ACEMAC,Acer macrophylla ,Big Leaf Maple,,,,,12,
CEACUN,Ceanothus cuneatus,buckbrush,,,2,,,
CEATHY,Ceanothus thyriflorus,California lilac,,,4,,,
CERBET,Cerocarpus betuliodes ,Mountain mahogany ,,,22,,,
CORCOR,Corylus cornuta,California hazelnut,,,2,,,
FRALAT,Fraxinus latifolia,Oregon ash,,,,,15,
PRUILI,Prunus ilicifolia,Holly leaf cherry ,,,,,,
QUEAGKE,Quercus agrifolia/kelloggii,Coast live oak/black oak,,,1,,,
RHACRO,Rhamnus crocea,Redberry buckthorn,,,8,,,
SAMNIG,Sambucus niger,Elderberry,,,2,,,
SALSP,Salix sp. ,Willow sp. ,,,2,,,
TORCAL,Torreya californica,California nutmeg,,,5,,
