id	taxon	trait	value	units	created.by	created.date
1	Asplenium septentrionale	Low elevation	2500	m	D. Ackerly	7/21/06
2	Asplenium trichomanes ssp. trichomanes	Low elevation	100	m	D. Ackerly	7/21/06
3	Asplenium trichomanes-ramosum	Low elevation	1900	m	D. Ackerly	7/21/06
4	Asplenium vespertinum	Low elevation	500	m	D. Ackerly	7/21/06
5	Azolla filiculoides	Low elevation	0	m	D. Ackerly	7/21/06
6	Azolla mexicana	Low elevation	100	m	D. Ackerly	7/21/06
7	Blechnum spicant	Low elevation	0	m	D. Ackerly	7/21/06
8	Woodwardia fimbriata	Low elevation	0	m	D. Ackerly	7/21/06
9	Pteridium aquilinum var. pubescens	Low elevation	0	m	D. Ackerly	7/21/06
10	Athyrium alpestre var. americanum	Low elevation	1700	m	D. Ackerly	7/21/06
11	Athyrium filix-femina var. cyclosorum	Low elevation	0	m	D. Ackerly	7/21/06
12	Cyrtomium falcatum	Low elevation	0	m	D. Ackerly	7/21/06
13	Cystopteris fragilis	Low elevation	0	m	D. Ackerly	7/21/06
14	Dryopteris arguta	Low elevation	0	m	D. Ackerly	7/21/06
15	Dryopteris expansa	Low elevation	0	m	D. Ackerly	7/21/06
16	Dryopteris filix-mas	Low elevation	2400	m	D. Ackerly	7/21/06
17	Polystichum californicum	Low elevation	0	m	D. Ackerly	7/21/06
18	Polystichum dudleyi	Low elevation	0	m	D. Ackerly	7/21/06
19	Polystichum imbricans	Low elevation	300	m	D. Ackerly	7/21/06
20	Polystichum imbricans ssp. curtum	Low elevation	400	m	D. Ackerly	7/21/06
21	Polystichum imbricans ssp. imbricans	Low elevation	300	m	D. Ackerly	7/21/06
22	Polystichum kruckebergii	Low elevation	2100	m	D. Ackerly	7/21/06
23	Polystichum lemmonii	Low elevation	1200	m	D. Ackerly	7/21/06
24	Polystichum lonchitis	Low elevation	1800	m	D. Ackerly	7/21/06
25	Polystichum munitum	Low elevation	0	m	D. Ackerly	7/21/06
26	Polystichum scopulinum	Low elevation	400	m	D. Ackerly	7/21/06
27	Woodsia oregana	Low elevation	900	m	D. Ackerly	7/21/06
28	Woodsia plummerae	Low elevation	1600	m	D. Ackerly	7/21/06
29	Woodsia scopulina	Low elevation	1400	m	D. Ackerly	7/21/06
30	Equisetum arvense	Low elevation	0	m	D. Ackerly	7/21/06
31	Equisetum hyemale ssp. affine	Low elevation	0	m	D. Ackerly	7/21/06
32	Equisetum laevigatum	Low elevation	0	m	D. Ackerly	7/21/06
33	Equisetum palustre	Low elevation	0	m	D. Ackerly	7/21/06
